Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,41.0 °F,35.2 °F,27.0 °F,57%,30.52 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
1:52 AM,39.9 °F,34.5 °F,27.0 °F,60%,30.53 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,39.9 °F,33.4 °F,27.0 °F,60%,30.53 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Clear
3:52 AM,39.0 °F,32.8 °F,27.0 °F,62%,30.54 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Clear
4:52 AM,39.0 °F,31.4 °F,27.0 °F,62%,30.54 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Clear
5:52 AM,37.9 °F,30.9 °F,27.0 °F,65%,30.56 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Clear
6:52 AM,39.0 °F,31.8 °F,27.0 °F,62%,30.58 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Clear
7:52 AM,39.0 °F,31.8 °F,28.0 °F,65%,30.60 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Clear
8:52 AM,43.0 °F,36.0 °F,28.9 °F,58%,30.61 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Clear
9:52 AM,48.0 °F,  -,30.9 °F,52%,30.62 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Clear
10:52 AM,50.0 °F,  -,30.0 °F,46%,30.62 in,10.0 mi,East,20.7 mph,  -,N/A,	 ,Clear
11:52 AM,53.1 °F,  -,28.9 °F,40%,30.60 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Clear
12:52 PM,55.0 °F,  -,28.9 °F,37%,30.57 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
1:52 PM,57.0 °F,  -,28.0 °F,33%,30.54 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Clear
2:52 PM,57.9 °F,  -,27.0 °F,31%,30.52 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
3:52 PM,57.9 °F,  -,27.0 °F,31%,30.52 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Clear
4:52 PM,55.9 °F,  -,28.0 °F,34%,30.52 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Clear
5:52 PM,52.0 °F,  -,28.0 °F,40%,30.54 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,52.0 °F,  -,27.0 °F,38%,30.55 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,48.9 °F,  -,28.0 °F,44%,30.56 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
8:52 PM,48.0 °F,  -,28.0 °F,46%,30.56 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,46.0 °F,41.0 °F,28.0 °F,50%,30.57 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,44.1 °F,38.6 °F,28.9 °F,55%,30.57 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,44.1 °F,39.0 °F,28.9 °F,55%,30.56 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
