Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:14 AM,44.6 °F,42.2 °F,35.6 °F,71%,30.11 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:52 AM,44.1 °F,41.5 °F,37.0 °F,76%,30.11 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:38 AM,42.8 °F,  -,37.4 °F,81%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
1:52 AM,43.0 °F,  -,37.9 °F,82%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,41.0 °F,38.0 °F,37.0 °F,86%,30.09 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,39.9 °F,37.8 °F,36.0 °F,86%,30.07 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,39.9 °F,35.8 °F,36.0 °F,86%,30.05 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:19 AM,42.8 °F,38.0 °F,37.4 °F,81%,30.04 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,43.0 °F,38.8 °F,37.0 °F,80%,30.05 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:19 AM,42.8 °F,38.0 °F,37.4 °F,81%,30.04 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,43.0 °F,40.3 °F,37.9 °F,82%,30.05 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,42.1 °F,37.7 °F,37.9 °F,85%,30.06 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,46.0 °F,40.2 °F,39.0 °F,76%,30.08 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Clear
9:52 AM,48.9 °F,  -,37.9 °F,66%,30.10 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
10:52 AM,54.0 °F,  -,33.1 °F,45%,30.10 in,10.0 mi,WNW,16.1 mph,  -,N/A,	 ,Clear
11:52 AM,55.9 °F,  -,27.0 °F,33%,30.10 in,10.0 mi,NW,20.7 mph,33.4 mph,N/A,	 ,Scattered Clouds
12:52 PM,59.0 °F,  -,26.1 °F,28%,30.07 in,10.0 mi,WNW,20.7 mph,28.8 mph,N/A,	 ,Scattered Clouds
1:52 PM,59.0 °F,  -,23.0 °F,25%,30.05 in,10.0 mi,NW,26.5 mph,33.4 mph,N/A,	 ,Scattered Clouds
2:52 PM,59.0 °F,  -,21.2 °F,23%,30.05 in,10.0 mi,WNW,17.3 mph,31.1 mph,N/A,	 ,Scattered Clouds
3:52 PM,59.0 °F,  -,21.9 °F,24%,30.07 in,10.0 mi,West,21.9 mph,28.8 mph,N/A,	 ,Clear
4:52 PM,57.0 °F,  -,19.9 °F,24%,30.09 in,10.0 mi,WNW,17.3 mph,24.2 mph,N/A,	 ,Clear
5:52 PM,53.1 °F,  -,21.0 °F,29%,30.10 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
6:52 PM,50.0 °F,  -,19.9 °F,31%,30.12 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
7:52 PM,48.0 °F,  -,21.0 °F,34%,30.13 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
8:52 PM,46.9 °F,  -,21.0 °F,36%,30.13 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
9:52 PM,45.0 °F,41.2 °F,21.9 °F,40%,30.14 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
10:52 PM,46.0 °F,43.9 °F,21.9 °F,39%,30.14 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
11:52 PM,45.0 °F,42.6 °F,21.9 °F,40%,30.13 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
