Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,41.0 °F,37.1 °F,27.0 °F,57%,30.27 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,41.0 °F,  -,27.0 °F,57%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 AM,39.0 °F,  -,27.0 °F,62%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 AM,37.9 °F,35.5 °F,27.0 °F,65%,30.30 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,36.0 °F,  -,28.0 °F,73%,30.29 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 AM,36.0 °F,31.1 °F,28.0 °F,73%,30.27 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,37.0 °F,33.3 °F,28.0 °F,70%,30.29 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,36.0 °F,33.3 °F,27.0 °F,70%,30.31 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,39.9 °F,35.8 °F,28.0 °F,63%,30.32 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,41.0 °F,35.2 °F,28.0 °F,60%,30.31 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,46.0 °F,41.0 °F,28.0 °F,50%,30.32 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,48.9 °F,  -,28.9 °F,46%,30.29 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,53.6 °F,  -,26.6 °F,35%,30.23 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,55.9 °F,  -,28.0 °F,34%,30.18 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,57.9 °F,  -,25.0 °F,28%,30.15 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,59.0 °F,  -,25.0 °F,27%,30.13 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,57.9 °F,  -,26.1 °F,30%,30.13 in,10.0 mi,SSW,10.4 mph,16.1 mph,N/A,	 ,Mostly Cloudy
5:52 PM,57.0 °F,  -,28.0 °F,33%,30.13 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,54.0 °F,  -,28.9 °F,38%,30.14 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,54.0 °F,  -,30.9 °F,41%,30.15 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
8:52 PM,54.0 °F,  -,32.0 °F,43%,30.13 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
9:52 PM,54.0 °F,  -,33.1 °F,45%,30.12 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
10:52 PM,54.0 °F,  -,34.0 °F,47%,30.11 in,10.0 mi,SSW,5.8 mph,  -,0.00 in,	 ,Overcast
11:52 PM,54.0 °F,  -,36.0 °F,51%,30.09 in,10.0 mi,SW,8.1 mph,  -,0.00 in,	 ,Overcast
