Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,39.0 °F,35.7 °F,26.1 °F,60%,30.23 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
1:52 AM,37.9 °F,32.1 °F,25.0 °F,60%,30.24 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,37.0 °F,28.9 °F,25.0 °F,62%,30.25 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,35.1 °F,26.4 °F,24.1 °F,64%,30.24 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,34.0 °F,24.6 °F,23.0 °F,64%,30.24 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,33.1 °F,23.4 °F,23.0 °F,66%,30.23 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,32.0 °F,22.5 °F,23.0 °F,69%,30.25 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,32.0 °F,23.6 °F,21.9 °F,66%,30.27 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,34.0 °F,23.0 °F,21.0 °F,59%,30.29 in,10.0 mi,NW,18.4 mph,27.6 mph,N/A,	 ,Mostly Cloudy
9:52 AM,35.1 °F,25.5 °F,18.0 °F,50%,30.30 in,10.0 mi,NW,15.0 mph,25.3 mph,N/A,	 ,Mostly Cloudy
10:52 AM,35.6 °F,24.2 °F,19.4 °F,52%,30.27 in,10.0 mi,NNW,21.9 mph,29.9 mph,N/A,	 ,Mostly Cloudy
11:52 AM,37.0 °F,26.2 °F,19.9 °F,50%,30.27 in,10.0 mi,NW,21.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,37.0 °F,26.7 °F,18.0 °F,46%,30.26 in,10.0 mi,NW,19.6 mph,26.5 mph,N/A,	 ,Mostly Cloudy
1:52 PM,39.0 °F,29.0 °F,19.0 °F,45%,30.24 in,10.0 mi,NW,20.7 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,39.0 °F,29.0 °F,18.0 °F,43%,30.27 in,10.0 mi,NNW,20.7 mph,29.9 mph,N/A,	 ,Scattered Clouds
3:52 PM,34.0 °F,21.0 °F,14.0 °F,44%,30.33 in,10.0 mi,NNW,26.5 mph,33.4 mph,N/A,	 ,Mostly Cloudy
4:52 PM,32.0 °F,18.1 °F,12.0 °F,44%,30.37 in,10.0 mi,NNW,27.6 mph,33.4 mph,N/A,	 ,Mostly Cloudy
5:52 PM,30.0 °F,14.7 °F,8.1 °F,40%,30.42 in,10.0 mi,NNW,31.1 mph,38.0 mph,N/A,	 ,Mostly Cloudy
6:52 PM,28.0 °F,13.0 °F,7.0 °F,41%,30.46 in,10.0 mi,NNW,26.5 mph,33.4 mph,N/A,	 ,Mostly Cloudy
7:52 PM,24.1 °F,8.0 °F,5.0 °F,44%,30.53 in,10.0 mi,North,25.3 mph,34.5 mph,N/A,	 ,Partly Cloudy
8:52 PM,19.9 °F,2.2 °F,1.0 °F,44%,30.58 in,10.0 mi,NNW,26.5 mph,33.4 mph,N/A,	 ,Clear
9:52 PM,19.0 °F,2.7 °F,-0.9 °F,42%,30.59 in,10.0 mi,North,20.7 mph,32.2 mph,N/A,	 ,Clear
10:52 PM,17.1 °F,1.0 °F,-2.0 °F,43%,30.61 in,10.0 mi,NNW,18.4 mph,28.8 mph,N/A,	 ,Clear
11:52 PM,16.0 °F,0.1 °F,-0.9 °F,47%,30.61 in,10.0 mi,NNW,17.3 mph,25.3 mph,N/A,	 ,Clear
