Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,23.0 °F,15.8 °F,7.0 °F,50%,30.35 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,25.0 °F,20.7 °F,3.9 °F,41%,30.38 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,23.0 °F,  -,5.0 °F,46%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:52 AM,23.0 °F,  -,6.1 °F,48%,30.35 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,21.9 °F,17.2 °F,7.0 °F,53%,30.35 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,23.0 °F,14.7 °F,6.1 °F,48%,30.34 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,21.9 °F,14.5 °F,7.0 °F,53%,30.35 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,21.9 °F,14.5 °F,7.0 °F,53%,30.35 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,27.0 °F,18.0 °F,8.1 °F,45%,30.37 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,30.9 °F,22.2 °F,7.0 °F,37%,30.37 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,34.0 °F,24.6 °F,6.1 °F,31%,30.38 in,10.0 mi,NW,13.8 mph,18.4 mph,N/A,	 ,Partly Cloudy
11:52 AM,37.0 °F,28.9 °F,6.1 °F,28%,30.36 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,39.0 °F,31.8 °F,8.1 °F,28%,30.32 in,10.0 mi,NW,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
1:52 PM,41.0 °F,33.9 °F,10.9 °F,29%,30.30 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,39.9 °F,33.9 °F,12.9 °F,33%,30.30 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Overcast
3:52 PM,39.9 °F,32.5 °F,14.0 °F,35%,30.30 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Overcast
4:52 PM,39.0 °F,31.8 °F,15.1 °F,38%,30.32 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,36.0 °F,28.5 °F,12.9 °F,39%,30.35 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,35.1 °F,28.6 °F,14.0 °F,42%,30.38 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,34.0 °F,27.2 °F,14.0 °F,44%,30.38 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,33.1 °F,26.1 °F,14.0 °F,46%,30.38 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,32.0 °F,24.8 °F,14.0 °F,48%,30.39 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,30.9 °F,23.5 °F,12.9 °F,47%,30.39 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,30.9 °F,21.7 °F,10.9 °F,43%,30.40 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
