Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,27.0 °F,16.1 °F,9.0 °F,47%,30.23 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,26.1 °F,14.5 °F,9.0 °F,49%,30.23 in,10.0 mi,NNW,13.8 mph,21.9 mph,N/A,	 ,Partly Cloudy
2:52 AM,26.1 °F,15.6 °F,10.0 °F,51%,30.23 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,27.0 °F,16.1 °F,10.0 °F,49%,30.23 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,26.1 °F,15.6 °F,10.0 °F,51%,30.26 in,10.0 mi,NNW,11.5 mph,19.6 mph,N/A,	 ,Overcast
5:52 AM,26.1 °F,17.6 °F,10.0 °F,51%,30.28 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,26.1 °F,18.4 °F,10.0 °F,51%,30.28 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,26.1 °F,17.6 °F,10.0 °F,51%,30.31 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,27.0 °F,18.0 °F,10.0 °F,49%,30.34 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,30.0 °F,24.1 °F,10.9 °F,45%,30.34 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,32.0 °F,  -,9.0 °F,38%,30.34 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:52 AM,36.0 °F,32.1 °F,9.0 °F,33%,30.32 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,39.2 °F,35.0 °F,10.4 °F,31%,30.26 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,42.1 °F,37.1 °F,8.1 °F,25%,30.25 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,44.1 °F,39.5 °F,7.0 °F,22%,30.23 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,45.0 °F,41.2 °F,1.9 °F,17%,30.21 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,44.1 °F,40.1 °F,3.9 °F,19%,30.21 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,42.1 °F,37.7 °F,1.0 °F,18%,30.20 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,39.0 °F,34.0 °F,1.9 °F,21%,30.21 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,37.9 °F,32.1 °F,5.0 °F,25%,30.22 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,36.0 °F,32.1 °F,5.0 °F,27%,30.22 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,37.0 °F,34.5 °F,6.1 °F,28%,30.20 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,35.1 °F,31.0 °F,6.1 °F,30%,30.22 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,35.6 °F,31.7 °F,6.8 °F,30%,30.18 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
