Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,36.0 °F,28.0 °F,33.1 °F,89%,29.71 in,10.0 mi,North,11.5 mph,  -,0.00 in,	 ,Overcast
1:33 AM,35.6 °F,28.6 °F,33.8 °F,93%,29.69 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Overcast
1:52 AM,36.0 °F,28.5 °F,32.0 °F,86%,29.71 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
2:13 AM,35.6 °F,28.0 °F,32.0 °F,87%,29.68 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Overcast
2:36 AM,35.6 °F,28.0 °F,32.0 °F,87%,29.70 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
2:52 AM,35.1 °F,27.9 °F,32.0 °F,89%,29.73 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
3:52 AM,35.1 °F,28.6 °F,32.0 °F,89%,29.75 in,6.0 mi,North,8.1 mph,  -,0.00 in,	 ,Light Drizzle
4:52 AM,35.1 °F,29.3 °F,32.0 °F,89%,29.77 in,3.0 mi,NNW,6.9 mph,  -,0.00 in,	 ,Light Drizzle
5:52 AM,34.0 °F,27.2 °F,32.0 °F,92%,29.80 in,3.0 mi,NW,8.1 mph,  -,0.00 in,	 ,Overcast
6:52 AM,33.1 °F,27.7 °F,30.9 °F,92%,29.81 in,6.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:07 AM,33.8 °F,26.4 °F,30.2 °F,87%,29.80 in,5.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:11 AM,33.8 °F,25.3 °F,30.2 °F,87%,29.81 in,3.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:22 AM,33.8 °F,24.3 °F,30.2 °F,87%,29.82 in,3.0 mi,NW,13.8 mph,  -,N/A,	 ,Overcast
7:52 AM,33.1 °F,25.5 °F,30.9 °F,92%,29.86 in,3.0 mi,WNW,9.2 mph,  -,N/A,	 ,Overcast
8:52 AM,33.1 °F,26.1 °F,30.9 °F,92%,29.90 in,3.0 mi,WNW,8.1 mph,  -,N/A,	 ,Overcast
9:52 AM,35.1 °F,30.1 °F,32.0 °F,89%,29.91 in,7.0 mi,WNW,5.8 mph,  -,N/A,	 ,Overcast
10:50 AM,37.4 °F,32.1 °F,32.0 °F,81%,29.91 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,37.9 °F,32.1 °F,33.1 °F,83%,29.94 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,42.8 °F,36.2 °F,33.8 °F,70%,29.92 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,41.0 °F,33.1 °F,33.8 °F,76%,29.93 in,10.0 mi,NNW,15.0 mph,24.2 mph,N/A,	 ,Mostly Cloudy
1:52 PM,39.0 °F,31.4 °F,32.0 °F,76%,29.97 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Overcast
2:52 PM,37.9 °F,30.9 °F,32.0 °F,79%,30.01 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Overcast
3:52 PM,37.9 °F,30.0 °F,30.9 °F,76%,30.02 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Overcast
4:52 PM,37.9 °F,31.5 °F,30.9 °F,76%,30.04 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Overcast
5:52 PM,37.9 °F,30.0 °F,30.0 °F,73%,30.06 in,10.0 mi,NNW,12.7 mph,27.6 mph,N/A,	 ,Overcast
6:52 PM,37.9 °F,30.5 °F,30.0 °F,73%,30.10 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Overcast
7:52 PM,37.9 °F,30.5 °F,30.0 °F,73%,30.13 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Overcast
8:15 PM,37.4 °F,30.8 °F,28.4 °F,70%,30.11 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,37.0 °F,31.6 °F,28.9 °F,73%,30.15 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,35.6 °F,30.7 °F,30.2 °F,81%,30.14 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,34.0 °F,29.8 °F,28.9 °F,82%,30.19 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,33.1 °F,26.9 °F,28.9 °F,85%,30.19 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
