Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,43.0 °F,36.0 °F,30.0 °F,60%,30.02 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,42.1 °F,35.2 °F,30.9 °F,65%,30.02 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,39.9 °F,33.9 °F,30.0 °F,68%,30.02 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,39.0 °F,32.3 °F,30.0 °F,70%,30.01 in,10.0 mi,NNW,10.4 mph,17.3 mph,N/A,	 ,Partly Cloudy
4:52 AM,37.9 °F,32.1 °F,28.9 °F,70%,30.03 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,37.0 °F,30.4 °F,28.9 °F,73%,30.05 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,37.0 °F,29.8 °F,28.0 °F,70%,30.07 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,37.0 °F,28.9 °F,25.0 °F,62%,30.10 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,37.0 °F,29.3 °F,26.1 °F,65%,30.13 in,10.0 mi,NW,11.5 mph,17.3 mph,N/A,	 ,Scattered Clouds
9:52 AM,39.0 °F,30.3 °F,21.9 °F,50%,30.15 in,10.0 mi,NNW,16.1 mph,21.9 mph,N/A,	 ,Partly Cloudy
10:52 AM,39.9 °F,33.4 °F,19.0 °F,43%,30.17 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,43.0 °F,36.8 °F,19.0 °F,38%,30.18 in,10.0 mi,West,11.5 mph,  -,0.01 in,	 ,Clear
12:52 PM,46.0 °F,41.9 °F,17.1 °F,31%,30.17 in,10.0 mi,NNW,8.1 mph,18.4 mph,0.01 in,	 ,Clear
1:52 PM,48.9 °F,  -,15.1 °F,26%,30.17 in,10.0 mi,NW,12.7 mph,21.9 mph,N/A,	 ,Clear
2:52 PM,50.0 °F,  -,14.0 °F,24%,30.15 in,10.0 mi,WNW,12.7 mph,23.0 mph,N/A,	 ,Partly Cloudy
3:52 PM,52.0 °F,  -,12.9 °F,21%,30.15 in,10.0 mi,North,16.1 mph,21.9 mph,N/A,	 ,Mostly Cloudy
4:52 PM,52.0 °F,  -,14.0 °F,22%,30.14 in,10.0 mi,NW,13.8 mph,20.7 mph,N/A,	 ,Scattered Clouds
5:52 PM,52.0 °F,  -,15.1 °F,23%,30.14 in,10.0 mi,NNW,15.0 mph,20.7 mph,N/A,	 ,Scattered Clouds
6:52 PM,51.1 °F,  -,14.0 °F,23%,30.17 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,46.9 °F,  -,15.1 °F,28%,30.18 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,44.1 °F,40.1 °F,15.1 °F,31%,30.21 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,43.0 °F,38.2 °F,16.0 °F,34%,30.23 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,42.1 °F,37.7 °F,18.0 °F,38%,30.26 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
11:52 PM,39.0 °F,34.0 °F,19.0 °F,45%,30.28 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
