Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,28.9 °F,18.6 °F,21.9 °F,75%,30.33 in,10.0 mi,NNW,12.7 mph,19.6 mph,N/A,	 ,Mostly Cloudy
1:52 AM,28.0 °F,16.5 °F,21.9 °F,78%,30.34 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Overcast
2:52 AM,28.0 °F,16.5 °F,21.0 °F,75%,30.35 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Overcast
3:52 AM,28.4 °F,19.7 °F,21.2 °F,74%,30.32 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
4:29 AM,28.4 °F,19.7 °F,21.2 °F,74%,30.32 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
4:52 AM,28.0 °F,18.1 °F,21.0 °F,75%,30.35 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
5:52 AM,28.0 °F,19.3 °F,21.9 °F,78%,30.38 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
6:52 AM,28.4 °F,19.7 °F,23.0 °F,80%,30.37 in,7.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
7:02 AM,28.4 °F,20.4 °F,23.0 °F,80%,30.37 in,2.5 mi,North,8.1 mph,  -,N/A,	 ,Overcast
7:52 AM,28.0 °F,20.8 °F,24.1 °F,85%,30.43 in,2.5 mi,NNW,6.9 mph,  -,N/A,	 ,Overcast
8:44 AM,30.2 °F,24.3 °F,24.8 °F,80%,30.40 in,7.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
8:52 AM,30.9 °F,25.2 °F,26.1 °F,82%,30.44 in,8.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
8:56 AM,30.2 °F,23.4 °F,26.6 °F,86%,30.41 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Overcast
9:52 AM,33.8 °F,30.8 °F,26.6 °F,75%,30.42 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,39.0 °F,34.0 °F,30.0 °F,70%,30.45 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,42.1 °F,38.4 °F,30.9 °F,65%,30.45 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,45.0 °F,41.2 °F,32.0 °F,60%,30.45 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,48.0 °F,  -,33.1 °F,56%,30.42 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 PM,48.2 °F,  -,30.2 °F,50%,30.38 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,50.0 °F,  -,30.0 °F,46%,30.40 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,50.0 °F,  -,28.9 °F,44%,30.39 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,48.0 °F,  -,28.0 °F,46%,30.39 in,10.0 mi,NW,9.2 mph,18.4 mph,N/A,	 ,Mostly Cloudy
6:52 PM,45.0 °F,40.1 °F,28.0 °F,52%,30.41 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,43.0 °F,37.7 °F,28.0 °F,56%,30.43 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,41.0 °F,35.8 °F,28.0 °F,60%,30.44 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,39.9 °F,34.5 °F,27.0 °F,60%,30.45 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,37.9 °F,34.4 °F,26.1 °F,62%,30.45 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,36.0 °F,31.1 °F,26.1 °F,67%,30.44 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
