Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,72.0 °F,57.0 °F,59%,30.15 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,70.0 °F,54.0 °F,57%,30.14 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,69.1 °F,54.0 °F,58%,30.13 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,66.9 °F,50.0 °F,54%,30.13 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Overcast
4:52 AM,66.0 °F,48.9 °F,54%,30.14 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Overcast
5:52 AM,64.9 °F,48.9 °F,56%,30.15 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,63.0 °F,48.0 °F,58%,30.18 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,63.0 °F,48.9 °F,60%,30.20 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,66.0 °F,48.9 °F,54%,30.22 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,70.0 °F,48.0 °F,46%,30.22 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,72.0 °F,48.0 °F,43%,30.23 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,75.2 °F,48.2 °F,38%,30.24 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,78.1 °F,46.9 °F,33%,30.21 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,80.1 °F,50.0 °F,35%,30.19 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,82.9 °F,48.9 °F,31%,30.17 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,82.9 °F,46.0 °F,27%,30.15 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,84.0 °F,46.0 °F,26%,30.13 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,82.9 °F,46.0 °F,27%,30.12 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,82.9 °F,46.9 °F,28%,30.12 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,78.1 °F,50.0 °F,37%,30.13 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,75.9 °F,50.0 °F,40%,30.15 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,73.9 °F,50.0 °F,43%,30.17 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,73.0 °F,48.9 °F,42%,30.18 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,72.0 °F,46.9 °F,41%,30.19 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
