Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,71.1 °F,  -,46.9 °F,42%,30.18 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,69.1 °F,  -,48.9 °F,49%,30.18 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 AM,66.0 °F,  -,50.0 °F,56%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 AM,66.9 °F,  -,48.9 °F,52%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,66.9 °F,  -,50.0 °F,54%,30.18 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,64.9 °F,  -,51.1 °F,61%,30.19 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,64.9 °F,  -,51.1 °F,61%,30.20 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,66.0 °F,  -,52.0 °F,60%,30.24 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,68.0 °F,  -,52.0 °F,56%,30.26 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,69.1 °F,  -,54.0 °F,58%,30.28 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Overcast
10:16 AM,71.6 °F,  -,55.4 °F,57%,30.30 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,73.4 °F,  -,57.2 °F,57%,30.30 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,77.0 °F,  -,59.0 °F,54%,30.30 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,79.0 °F,  -,60.1 °F,52%,30.26 in,10.0 mi,ESE,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
1:52 PM,81.0 °F,81.3 °F,59.0 °F,47%,30.24 in,10.0 mi,SSE,10.4 mph,16.1 mph,N/A,	 ,Mostly Cloudy
2:52 PM,82.0 °F,82.1 °F,59.0 °F,45%,30.22 in,10.0 mi,SSE,6.9 mph,17.3 mph,N/A,	 ,Scattered Clouds
3:52 PM,82.0 °F,82.4 °F,60.1 °F,47%,30.21 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,81.0 °F,81.3 °F,59.0 °F,47%,30.18 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,81.0 °F,81.6 °F,60.1 °F,49%,30.18 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Overcast
6:52 PM,80.1 °F,80.9 °F,60.1 °F,50%,30.18 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
7:52 PM,79.0 °F,  -,59.0 °F,50%,30.19 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
8:52 PM,78.1 °F,  -,57.0 °F,48%,30.20 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
9:52 PM,77.0 °F,  -,57.2 °F,50%,30.23 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Overcast
10:52 PM,75.9 °F,  -,57.0 °F,52%,30.22 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Overcast
11:52 PM,75.0 °F,  -,57.0 °F,53%,30.22 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Overcast
