Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,75.0 °F,63.0 °F,66%,29.91 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,73.0 °F,63.0 °F,71%,29.91 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,71.1 °F,64.0 °F,78%,29.89 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,71.1 °F,64.0 °F,78%,29.89 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,70.0 °F,61.0 °F,73%,29.90 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,69.1 °F,60.1 °F,73%,29.91 in,10.0 mi,WNW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,69.1 °F,59.0 °F,70%,29.93 in,10.0 mi,WNW,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
7:52 AM,69.1 °F,60.1 °F,73%,29.95 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,72.0 °F,60.1 °F,66%,29.96 in,10.0 mi,NW,13.8 mph,21.9 mph,N/A,	 ,Scattered Clouds
9:52 AM,72.0 °F,59.0 °F,64%,29.97 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,73.4 °F,59.0 °F,61%,30.00 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,75.9 °F,61.0 °F,60%,29.98 in,10.0 mi,WNW,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
12:52 PM,75.9 °F,60.1 °F,58%,29.97 in,10.0 mi,NW,9.2 mph,23.0 mph,N/A,	 ,Scattered Clouds
1:52 PM,78.1 °F,61.0 °F,56%,29.96 in,10.0 mi,WNW,12.7 mph,20.7 mph,N/A,	 ,Scattered Clouds
2:52 PM,79.0 °F,61.0 °F,54%,29.95 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,77.0 °F,59.0 °F,54%,29.96 in,10.0 mi,WNW,18.4 mph,23.0 mph,N/A,	 ,Scattered Clouds
4:52 PM,78.1 °F,60.1 °F,54%,29.96 in,10.0 mi,WNW,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
5:52 PM,75.0 °F,57.9 °F,55%,29.96 in,10.0 mi,WNW,15.0 mph,25.3 mph,N/A,	 ,Scattered Clouds
6:52 PM,72.0 °F,55.0 °F,55%,29.97 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,68.0 °F,54.0 °F,61%,30.00 in,10.0 mi,NW,17.3 mph,24.2 mph,N/A,	 ,Scattered Clouds
8:52 PM,64.9 °F,52.0 °F,63%,30.02 in,10.0 mi,NNW,19.6 mph,24.2 mph,N/A,	 ,Partly Cloudy
9:52 PM,63.0 °F,51.1 °F,65%,30.04 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,61.0 °F,48.9 °F,64%,30.07 in,10.0 mi,NNW,16.1 mph,21.9 mph,N/A,	 ,Mostly Cloudy
11:52 PM,60.1 °F,46.9 °F,62%,30.09 in,10.0 mi,NW,16.1 mph,19.6 mph,N/A,	 ,Mostly Cloudy
