Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,70.0 °F,  -,66.9 °F,90%,30.14 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,70.0 °F,  -,66.0 °F,87%,30.13 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,69.1 °F,  -,66.0 °F,90%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 AM,69.1 °F,  -,66.0 °F,90%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,69.8 °F,  -,64.4 °F,83%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 AM,69.1 °F,  -,64.9 °F,87%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:52 AM,69.1 °F,  -,64.9 °F,87%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
7:52 AM,71.1 °F,  -,66.0 °F,84%,30.15 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,75.9 °F,  -,68.0 °F,76%,30.16 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,79.0 °F,  -,68.0 °F,69%,30.17 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,82.4 °F,86.3 °F,69.8 °F,66%,30.20 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,84.0 °F,87.8 °F,69.1 °F,61%,30.18 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,86.0 °F,89.4 °F,68.0 °F,55%,30.17 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,30.15 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,87.1 °F,89.9 °F,66.9 °F,51%,30.13 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,88.0 °F,90.3 °F,66.0 °F,48%,30.11 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,89.1 °F,90.0 °F,63.0 °F,42%,30.09 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,88.0 °F,89.3 °F,64.0 °F,45%,30.08 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,88.0 °F,88.7 °F,63.0 °F,43%,30.07 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,86.0 °F,88.8 °F,66.9 °F,53%,30.09 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,82.9 °F,85.4 °F,66.9 °F,58%,30.11 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,81.0 °F,83.8 °F,68.0 °F,65%,30.12 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,79.0 °F,  -,68.0 °F,69%,30.14 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,78.1 °F,  -,69.1 °F,74%,30.14 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
