Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
6:52 AM,77.0 °F,  -,69.1 °F,76%,30.10 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,79.0 °F,  -,70.0 °F,74%,30.12 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,82.9 °F,87.0 °F,70.0 °F,65%,30.12 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,87.1 °F,92.0 °F,70.0 °F,57%,30.13 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,89.1 °F,94.1 °F,70.0 °F,53%,30.12 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,91.0 °F,96.6 °F,70.0 °F,50%,30.12 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,91.9 °F,96.9 °F,69.1 °F,47%,30.12 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,93.2 °F,97.7 °F,68.0 °F,44%,30.14 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,93.0 °F,97.4 °F,68.0 °F,44%,30.08 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,93.0 °F,95.9 °F,66.0 °F,41%,30.06 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,91.0 °F,95.2 °F,68.0 °F,47%,30.05 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,93.9 °F,97.0 °F,66.0 °F,40%,30.03 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,91.9 °F,95.9 °F,68.0 °F,45%,30.01 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,90.0 °F,92.8 °F,66.9 °F,46%,30.02 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,30.03 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,86.0 °F,89.4 °F,68.0 °F,55%,30.05 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:52 PM,84.2 °F,88.4 °F,69.8 °F,62%,30.10 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,82.9 °F,86.5 °F,69.1 °F,63%,30.08 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
