Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,75.0 °F,  -,66.0 °F,73%,30.04 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,77.0 °F,  -,64.9 °F,66%,30.04 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,75.0 °F,  -,66.0 °F,73%,30.04 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,73.9 °F,  -,66.0 °F,76%,30.04 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,73.4 °F,  -,66.2 °F,78%,30.08 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,73.0 °F,  -,66.0 °F,79%,30.04 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,73.0 °F,  -,66.0 °F,79%,30.05 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,73.9 °F,  -,66.9 °F,79%,30.06 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,75.9 °F,  -,66.9 °F,74%,30.06 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,79.0 °F,  -,68.0 °F,69%,30.06 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,82.4 °F,84.6 °F,66.2 °F,58%,30.08 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,82.9 °F,85.4 °F,66.9 °F,58%,30.04 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,82.9 °F,85.0 °F,66.0 °F,56%,30.03 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,84.0 °F,87.0 °F,68.0 °F,58%,30.01 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,86.0 °F,88.2 °F,66.0 °F,51%,29.98 in,10.0 mi,SW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,86.0 °F,88.2 °F,66.0 °F,51%,29.95 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,87.8 °F,90.4 °F,66.2 °F,49%,29.96 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,86.0 °F,88.2 °F,66.0 °F,51%,29.92 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,84.9 °F,87.1 °F,66.0 °F,53%,29.91 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,84.0 °F,85.8 °F,64.9 °F,53%,29.92 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,81.0 °F,82.7 °F,64.9 °F,58%,29.93 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,79.0 °F,  -,66.0 °F,64%,29.94 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,77.0 °F,  -,68.0 °F,74%,29.95 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,75.9 °F,  -,68.0 °F,76%,29.96 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
