Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,78.1 °F,  -,70.0 °F,76%,29.95 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,77.0 °F,  -,69.1 °F,76%,29.94 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,75.9 °F,  -,69.1 °F,79%,29.92 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,75.9 °F,  -,70.0 °F,82%,29.93 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,75.9 °F,  -,70.0 °F,82%,29.92 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,75.9 °F,  -,71.1 °F,85%,29.93 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,75.0 °F,  -,71.1 °F,87%,29.95 in,9.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,75.9 °F,  -,72.0 °F,87%,29.96 in,8.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:26 AM,78.8 °F,  -,71.6 °F,78%,30.00 in,8.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,78.1 °F,  -,72.0 °F,81%,29.97 in,8.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:19 AM,78.8 °F,  -,71.6 °F,78%,30.02 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:43 AM,80.6 °F,84.6 °F,71.6 °F,74%,30.02 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Overcast
9:52 AM,80.1 °F,83.8 °F,72.0 °F,76%,29.98 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Overcast
10:13 AM,80.6 °F,84.6 °F,71.6 °F,74%,30.02 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:28 AM,80.6 °F,84.6 °F,71.6 °F,74%,30.02 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:43 AM,80.6 °F,84.6 °F,71.6 °F,74%,30.02 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,81.0 °F,84.9 °F,71.1 °F,72%,29.99 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,82.9 °F,87.5 °F,71.1 °F,67%,29.99 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,84.9 °F,89.4 °F,70.0 °F,61%,29.97 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,86.0 °F,91.5 °F,71.1 °F,61%,29.96 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,87.1 °F,92.0 °F,70.0 °F,57%,29.95 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,87.1 °F,89.9 °F,66.9 °F,51%,29.94 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,88.0 °F,91.4 °F,68.0 °F,51%,29.93 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,89.1 °F,92.1 °F,66.9 °F,48%,29.92 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,89.1 °F,91.3 °F,66.0 °F,46%,29.91 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,88.0 °F,89.6 °F,64.9 °F,46%,29.91 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,86.0 °F,88.2 °F,66.0 °F,51%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:52 PM,82.0 °F,84.5 °F,66.9 °F,60%,29.94 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,81.0 °F,83.3 °F,66.9 °F,62%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:52 PM,79.0 °F,  -,66.9 °F,66%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
