Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,63.0 °F,41.0 °F,45%,30.22 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Clear
1:52 AM,63.0 °F,41.0 °F,45%,30.22 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Clear
2:52 AM,62.1 °F,42.1 °F,48%,30.22 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,60.1 °F,42.1 °F,51%,30.22 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,57.0 °F,42.1 °F,57%,30.23 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,57.0 °F,42.1 °F,57%,30.25 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
6:52 AM,55.0 °F,43.0 °F,64%,30.27 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Clear
7:52 AM,55.9 °F,43.0 °F,62%,30.29 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,59.0 °F,43.0 °F,55%,30.31 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,63.0 °F,43.0 °F,48%,30.32 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,66.0 °F,42.1 °F,42%,30.33 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,69.1 °F,42.1 °F,38%,30.32 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,71.1 °F,39.0 °F,31%,30.31 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,73.9 °F,39.9 °F,29%,30.28 in,10.0 mi,NNE,8.1 mph,17.3 mph,N/A,	 ,Scattered Clouds
2:52 PM,75.0 °F,39.9 °F,28%,30.25 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,75.0 °F,39.0 °F,27%,30.24 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,75.9 °F,37.0 °F,24%,30.24 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,73.9 °F,36.0 °F,25%,30.24 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,72.0 °F,39.0 °F,30%,30.26 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,69.1 °F,41.0 °F,36%,30.27 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,68.0 °F,39.0 °F,35%,30.28 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,64.0 °F,42.1 °F,45%,30.29 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,66.0 °F,39.0 °F,37%,30.29 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,64.0 °F,41.0 °F,43%,30.30 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
