Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,72.0 °F,  -,62.1 °F,71%,29.99 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,71.1 °F,  -,62.1 °F,73%,29.98 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,70.0 °F,  -,62.1 °F,76%,29.99 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,66.9 °F,  -,62.1 °F,84%,29.99 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,66.0 °F,  -,62.1 °F,87%,30.00 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,64.9 °F,  -,62.1 °F,90%,30.01 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,66.0 °F,  -,62.1 °F,87%,30.03 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,64.9 °F,  -,61.0 °F,87%,30.04 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,66.9 °F,  -,61.0 °F,81%,30.06 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,72.0 °F,  -,61.0 °F,68%,30.07 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,75.9 °F,  -,60.1 °F,58%,30.08 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,80.1 °F,80.9 °F,60.1 °F,50%,30.07 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,81.0 °F,81.1 °F,57.9 °F,45%,30.06 in,10.0 mi,East,18.4 mph,24.2 mph,N/A,	 ,Scattered Clouds
1:52 PM,82.0 °F,81.7 °F,57.0 °F,42%,30.04 in,10.0 mi,East,16.1 mph,21.9 mph,N/A,	 ,Scattered Clouds
2:52 PM,82.0 °F,81.6 °F,55.9 °F,41%,30.03 in,10.0 mi,East,16.1 mph,23.0 mph,N/A,	 ,Mostly Cloudy
3:52 PM,82.0 °F,81.6 °F,55.9 °F,41%,30.01 in,10.0 mi,ESE,12.7 mph,18.4 mph,N/A,	 ,Scattered Clouds
4:52 PM,84.0 °F,83.3 °F,57.0 °F,40%,30.01 in,10.0 mi,ENE,17.3 mph,23.0 mph,N/A,	 ,Mostly Cloudy
5:52 PM,82.0 °F,81.7 °F,57.0 °F,42%,30.01 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,79.0 °F,  -,57.0 °F,47%,30.01 in,10.0 mi,East,18.4 mph,21.9 mph,N/A,	 ,Partly Cloudy
7:52 PM,75.9 °F,  -,57.9 °F,54%,30.04 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,73.9 °F,  -,57.9 °F,57%,30.05 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,72.0 °F,  -,57.9 °F,61%,30.06 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,71.1 °F,  -,57.0 °F,61%,30.07 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,68.0 °F,  -,57.0 °F,68%,30.08 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
