Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,48.0 °F,  -,30.0 °F,50%,30.12 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1:52 AM,46.9 °F,  -,30.9 °F,54%,30.12 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
2:52 AM,46.9 °F,  -,30.9 °F,54%,30.10 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
3:52 AM,48.0 °F,  -,30.0 °F,50%,30.09 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
4:52 AM,46.9 °F,  -,30.0 °F,52%,30.09 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Clear
5:52 AM,44.6 °F,39.2 °F,30.2 °F,57%,30.09 in,9.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,46.0 °F,40.6 °F,30.9 °F,56%,30.10 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,48.0 °F,  -,30.9 °F,52%,30.10 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,51.1 °F,  -,33.1 °F,50%,30.10 in,9.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,57.2 °F,  -,33.8 °F,41%,30.10 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,62.1 °F,  -,35.1 °F,37%,30.08 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,66.0 °F,  -,34.0 °F,30%,30.08 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,66.9 °F,  -,34.0 °F,30%,30.05 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,69.1 °F,  -,32.0 °F,25%,30.02 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,69.1 °F,  -,30.0 °F,23%,30.00 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,66.9 °F,  -,30.0 °F,25%,30.01 in,10.0 mi,WNW,13.8 mph,23.0 mph,N/A,	 ,Overcast
4:52 PM,66.0 °F,  -,32.0 °F,28%,30.01 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Overcast
5:52 PM,63.0 °F,  -,34.0 °F,34%,30.03 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,61.0 °F,  -,35.1 °F,38%,30.04 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Overcast
7:52 PM,61.0 °F,  -,36.0 °F,39%,30.05 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Overcast
8:52 PM,60.1 °F,  -,37.0 °F,42%,30.06 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Overcast
9:52 PM,60.1 °F,  -,37.9 °F,44%,30.06 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,59.0 °F,  -,39.0 °F,48%,30.06 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,57.0 °F,  -,39.9 °F,53%,30.08 in,9.0 mi,NNW,4.6 mph,  -,N/A,	 ,Overcast
