Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,57.9 °F,41.0 °F,53%,30.08 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
1:52 AM,57.9 °F,41.0 °F,53%,30.10 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,57.9 °F,39.0 °F,49%,30.10 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,55.9 °F,37.9 °F,51%,30.11 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,55.0 °F,37.9 °F,53%,30.13 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,55.0 °F,37.0 °F,51%,30.17 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,54.0 °F,36.0 °F,51%,30.18 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,54.0 °F,36.0 °F,51%,30.22 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,57.9 °F,34.0 °F,41%,30.25 in,10.0 mi,East,23.0 mph,29.9 mph,N/A,	 ,Mostly Cloudy
10:52 AM,59.0 °F,34.0 °F,39%,30.27 in,10.0 mi,East,19.6 mph,29.9 mph,N/A,	 ,Mostly Cloudy
11:52 AM,60.1 °F,35.1 °F,39%,30.26 in,10.0 mi,East,21.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,61.0 °F,35.1 °F,38%,30.24 in,10.0 mi,ENE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,62.1 °F,35.1 °F,37%,30.21 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,61.0 °F,35.1 °F,38%,30.20 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,61.0 °F,36.0 °F,39%,30.19 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,60.1 °F,36.0 °F,41%,30.19 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,59.0 °F,36.0 °F,42%,30.20 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,55.0 °F,36.0 °F,49%,30.22 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,55.9 °F,37.0 °F,49%,30.24 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,54.0 °F,37.0 °F,53%,30.25 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,55.0 °F,36.0 °F,49%,30.26 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
10:52 PM,55.0 °F,36.0 °F,49%,30.26 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
11:52 PM,55.0 °F,36.0 °F,49%,30.26 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Overcast
