Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,52.0 °F,  -,39.9 °F,63%,30.00 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
1:52 AM,50.0 °F,  -,39.9 °F,68%,30.00 in,9.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
2:52 AM,48.9 °F,  -,39.9 °F,71%,29.99 in,9.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,48.0 °F,  -,39.9 °F,74%,29.99 in,8.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
4:52 AM,46.0 °F,44.8 °F,39.0 °F,76%,30.00 in,9.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
5:52 AM,44.6 °F,43.1 °F,37.4 °F,76%,30.00 in,8.0 mi,WNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,44.1 °F,40.1 °F,37.9 °F,79%,30.01 in,8.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,45.0 °F,41.2 °F,39.0 °F,80%,30.03 in,8.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,51.1 °F,  -,39.0 °F,63%,30.03 in,9.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,57.0 °F,  -,39.0 °F,51%,30.03 in,7.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,63.0 °F,  -,36.0 °F,37%,30.02 in,9.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,66.0 °F,  -,34.0 °F,30%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,66.9 °F,  -,36.0 °F,32%,29.96 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,70.0 °F,  -,37.0 °F,30%,29.95 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,70.0 °F,  -,37.9 °F,31%,29.93 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,69.1 °F,  -,37.9 °F,32%,29.91 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,66.0 °F,  -,39.0 °F,37%,29.92 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,64.0 °F,  -,39.9 °F,41%,29.93 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,63.0 °F,  -,42.1 °F,46%,29.94 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,60.1 °F,  -,42.1 °F,51%,29.96 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,57.9 °F,  -,42.1 °F,56%,29.96 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,57.0 °F,  -,43.0 °F,59%,29.97 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,55.0 °F,  -,42.1 °F,62%,29.96 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,54.0 °F,  -,42.1 °F,64%,29.96 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
