Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,48.9 °F,  -,46.0 °F,90%,29.73 in,8.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,50.0 °F,  -,48.0 °F,93%,29.73 in,8.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:16 AM,50.0 °F,  -,48.0 °F,93%,29.72 in,7.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
2:50 AM,50.0 °F,  -,48.2 °F,94%,29.72 in,0.8 mi,SW,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
2:52 AM,50.0 °F,  -,48.0 °F,93%,29.73 in,0.8 mi,SW,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
3:26 AM,51.1 °F,  -,48.0 °F,89%,29.73 in,3.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
3:31 AM,51.1 °F,  -,48.0 °F,89%,29.73 in,3.0 mi,West,9.2 mph,  -,N/A,	 ,Overcast
3:52 AM,51.1 °F,  -,48.0 °F,89%,29.73 in,3.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,50.0 °F,  -,48.0 °F,93%,29.76 in,3.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,51.1 °F,  -,48.0 °F,89%,29.78 in,3.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,50.0 °F,  -,46.9 °F,89%,29.78 in,3.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:28 AM,48.0 °F,  -,45.0 °F,89%,29.78 in,3.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,48.0 °F,  -,45.0 °F,89%,29.80 in,3.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:39 AM,48.9 °F,  -,46.9 °F,93%,29.82 in,2.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,50.0 °F,  -,46.9 °F,89%,29.82 in,2.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:20 AM,50.0 °F,  -,46.0 °F,86%,29.83 in,6.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:35 AM,50.0 °F,  -,46.0 °F,86%,29.84 in,7.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,50.0 °F,  -,46.0 °F,86%,29.85 in,8.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,53.1 °F,  -,45.0 °F,74%,29.86 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,55.9 °F,  -,42.1 °F,60%,29.86 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,57.0 °F,  -,39.0 °F,51%,29.83 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,57.9 °F,  -,36.0 °F,44%,29.82 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,57.9 °F,  -,33.1 °F,39%,29.81 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,57.9 °F,  -,33.1 °F,39%,29.83 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,57.0 °F,  -,33.1 °F,40%,29.84 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,53.1 °F,  -,32.0 °F,45%,29.84 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,50.0 °F,  -,32.0 °F,50%,29.85 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
7:52 PM,48.0 °F,  -,35.1 °F,61%,29.86 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Overcast
8:52 PM,48.0 °F,  -,36.0 °F,63%,29.84 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
9:52 PM,46.0 °F,41.0 °F,37.0 °F,71%,29.82 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
10:52 PM,45.0 °F,39.7 °F,35.1 °F,68%,29.85 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Overcast
11:52 PM,44.1 °F,37.4 °F,35.1 °F,71%,29.82 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Overcast
