Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,41.0 °F,37.1 °F,34.0 °F,76%,30.06 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
1:52 AM,41.0 °F,37.1 °F,34.0 °F,76%,30.05 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
2:52 AM,43.0 °F,39.5 °F,35.1 °F,74%,30.03 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
3:13 AM,42.1 °F,38.4 °F,35.1 °F,76%,30.01 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
3:36 AM,43.0 °F,41.3 °F,36.0 °F,76%,30.00 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Overcast
3:52 AM,42.1 °F,  -,36.0 °F,79%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:21 AM,42.1 °F,37.7 °F,36.0 °F,79%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Overcast
4:52 AM,42.1 °F,39.2 °F,36.0 °F,79%,29.99 in,10.0 mi,NNW,4.6 mph,  -,0.00 in,	 ,Overcast
5:52 AM,42.1 °F,37.7 °F,36.0 °F,79%,29.99 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Overcast
6:52 AM,41.0 °F,36.4 °F,36.0 °F,82%,30.00 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Overcast
7:52 AM,41.0 °F,35.8 °F,35.1 °F,79%,30.01 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Overcast
8:52 AM,41.0 °F,38.0 °F,34.0 °F,76%,29.99 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Overcast
9:16 AM,41.0 °F,38.0 °F,34.0 °F,76%,29.97 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Overcast
9:52 AM,41.0 °F,36.4 °F,34.0 °F,76%,30.00 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Overcast
10:52 AM,46.0 °F,43.9 °F,36.0 °F,68%,29.99 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,48.0 °F,  -,36.0 °F,63%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,50.0 °F,  -,37.0 °F,61%,29.95 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,52.0 °F,  -,37.9 °F,59%,29.90 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,52.0 °F,  -,33.1 °F,49%,29.88 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,52.0 °F,  -,33.1 °F,49%,29.86 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,51.1 °F,  -,32.0 °F,48%,29.86 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,48.9 °F,  -,24.1 °F,38%,29.86 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,48.0 °F,  -,23.0 °F,37%,29.87 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,45.0 °F,41.8 °F,24.1 °F,44%,29.87 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,44.1 °F,39.5 °F,25.0 °F,47%,29.88 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,43.0 °F,38.8 °F,26.1 °F,51%,29.88 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,42.1 °F,37.7 °F,26.1 °F,53%,29.89 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,43.0 °F,37.7 °F,27.0 °F,53%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
