Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,42.1 °F,35.7 °F,23.0 °F,47%,30.29 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
1:27 AM,42.1 °F,36.1 °F,24.1 °F,49%,30.26 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Overcast
1:52 AM,42.1 °F,36.1 °F,25.0 °F,51%,30.27 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
2:20 AM,42.1 °F,35.7 °F,26.1 °F,53%,30.25 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Overcast
2:35 AM,42.1 °F,35.7 °F,26.1 °F,53%,30.24 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Overcast
2:52 AM,42.1 °F,35.2 °F,26.1 °F,53%,30.25 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Overcast
3:52 AM,42.1 °F,35.7 °F,27.0 °F,55%,30.23 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
4:52 AM,42.1 °F,34.9 °F,27.0 °F,55%,30.20 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Overcast
4:58 AM,42.1 °F,35.2 °F,27.0 °F,55%,30.18 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Overcast
5:52 AM,42.1 °F,34.2 °F,28.0 °F,58%,30.19 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Overcast
6:52 AM,41.0 °F,33.9 °F,28.9 °F,62%,30.20 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Overcast
7:52 AM,41.0 °F,33.9 °F,30.0 °F,65%,30.19 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,43.0 °F,38.2 °F,30.9 °F,62%,30.21 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:30 AM,44.1 °F,40.8 °F,32.0 °F,63%,30.20 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,46.0 °F,41.4 °F,33.1 °F,61%,30.20 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,48.9 °F,  -,35.1 °F,59%,30.21 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,53.1 °F,  -,39.0 °F,59%,30.18 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,57.0 °F,  -,42.1 °F,57%,30.13 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,60.1 °F,  -,43.0 °F,53%,30.07 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,59.0 °F,  -,44.1 °F,58%,30.05 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,59.0 °F,  -,44.1 °F,58%,30.03 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,57.9 °F,  -,44.1 °F,60%,30.04 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,55.9 °F,  -,44.1 °F,64%,30.02 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,57.0 °F,  -,45.0 °F,64%,30.05 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
7:52 PM,55.9 °F,  -,45.0 °F,67%,30.05 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
8:52 PM,55.9 °F,  -,44.1 °F,64%,30.06 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
9:52 PM,55.0 °F,  -,44.1 °F,67%,30.04 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
10:52 PM,55.0 °F,  -,44.1 °F,67%,30.03 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
11:52 PM,54.0 °F,  -,44.1 °F,69%,30.03 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
