Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,36.0 °F,33.3 °F,17.1 °F,46%,30.38 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,35.1 °F,30.1 °F,17.1 °F,48%,30.38 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,35.1 °F,  -,17.1 °F,48%,30.37 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 AM,32.0 °F,  -,18.0 °F,56%,30.36 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,33.1 °F,28.7 °F,19.9 °F,59%,30.35 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,32.0 °F,25.6 °F,19.0 °F,59%,30.35 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,32.0 °F,25.6 °F,19.9 °F,61%,30.37 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,33.1 °F,24.4 °F,19.9 °F,59%,30.39 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,37.0 °F,29.3 °F,19.9 °F,50%,30.40 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,41.0 °F,35.8 °F,21.0 °F,45%,30.40 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,43.0 °F,40.3 °F,19.0 °F,38%,30.40 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,46.0 °F,41.9 °F,18.0 °F,33%,30.38 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,48.0 °F,  -,18.0 °F,30%,30.34 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,50.0 °F,  -,17.1 °F,27%,30.29 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,51.1 °F,  -,17.1 °F,26%,30.27 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,48.9 °F,  -,16.0 °F,27%,30.25 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,50.0 °F,  -,16.0 °F,26%,30.25 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,46.9 °F,  -,18.0 °F,32%,30.26 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,45.0 °F,41.2 °F,16.0 °F,31%,30.25 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,44.1 °F,39.0 °F,19.0 °F,37%,30.26 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,44.1 °F,40.8 °F,19.0 °F,37%,30.25 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,42.1 °F,39.2 °F,19.0 °F,40%,30.23 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,39.9 °F,35.1 °F,19.9 °F,45%,30.23 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,36.0 °F,29.6 °F,21.0 °F,55%,30.22 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
