Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,64.0 °F,34.0 °F,33%,29.94 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
1:52 AM,62.1 °F,36.0 °F,38%,29.92 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
2:52 AM,61.0 °F,37.0 °F,41%,29.91 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
3:52 AM,59.0 °F,37.9 °F,46%,29.92 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,57.0 °F,39.0 °F,51%,29.92 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,55.9 °F,37.9 °F,51%,29.92 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,55.0 °F,37.9 °F,53%,29.94 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,55.0 °F,37.9 °F,53%,29.97 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,55.9 °F,37.0 °F,49%,29.99 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,57.9 °F,39.0 °F,49%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:52 AM,64.0 °F,35.1 °F,34%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:52 AM,69.1 °F,30.9 °F,24%,29.98 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,72.0 °F,33.1 °F,24%,29.96 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,73.0 °F,32.0 °F,22%,29.93 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,75.9 °F,36.0 °F,23%,29.90 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,75.0 °F,37.0 °F,25%,29.88 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,75.0 °F,37.9 °F,26%,29.87 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
5:52 PM,73.9 °F,39.0 °F,28%,29.86 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
6:52 PM,73.0 °F,39.0 °F,29%,29.87 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
7:52 PM,71.1 °F,41.0 °F,34%,29.87 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
8:52 PM,70.0 °F,48.0 °F,46%,29.89 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Overcast
9:52 PM,68.0 °F,50.0 °F,52%,29.88 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Overcast
10:52 PM,66.9 °F,51.1 °F,57%,29.93 in,10.0 mi,WSW,11.5 mph,18.4 mph,N/A,	 ,Overcast
11:52 PM,64.9 °F,53.1 °F,65%,29.91 in,10.0 mi,SW,15.0 mph,  -,N/A,	 ,Overcast
