Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,39.9 °F,31.8 °F,19.9 °F,45%,30.12 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,39.0 °F,30.3 °F,21.0 °F,49%,30.12 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,39.9 °F,31.4 °F,26.1 °F,58%,30.13 in,10.0 mi,NNW,16.1 mph,23.0 mph,N/A,	 ,Partly Cloudy
3:52 AM,39.0 °F,29.9 °F,27.0 °F,62%,30.13 in,10.0 mi,NNW,17.3 mph,27.6 mph,N/A,	 ,Partly Cloudy
4:52 AM,39.0 °F,31.0 °F,27.0 °F,62%,30.14 in,10.0 mi,NNW,13.8 mph,25.3 mph,N/A,	 ,Clear
5:52 AM,37.9 °F,28.5 °F,28.0 °F,68%,30.17 in,10.0 mi,NW,17.3 mph,24.2 mph,N/A,	 ,Partly Cloudy
6:52 AM,37.0 °F,28.5 °F,28.0 °F,70%,30.18 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,37.0 °F,28.5 °F,28.0 °F,70%,30.21 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,39.0 °F,30.6 °F,28.9 °F,67%,30.25 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,41.0 °F,33.9 °F,28.9 °F,62%,30.27 in,10.0 mi,NNW,12.7 mph,26.5 mph,N/A,	 ,Partly Cloudy
10:52 AM,46.0 °F,38.3 °F,28.9 °F,51%,30.29 in,10.0 mi,NNW,20.7 mph,28.8 mph,N/A,	 ,Partly Cloudy
11:52 AM,46.9 °F,  -,28.0 °F,48%,30.30 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,48.9 °F,  -,28.0 °F,44%,30.29 in,10.0 mi,WNW,15.0 mph,21.9 mph,N/A,	 ,Partly Cloudy
1:52 PM,52.0 °F,  -,28.0 °F,40%,30.27 in,10.0 mi,NW,18.4 mph,23.0 mph,N/A,	 ,Partly Cloudy
2:52 PM,54.0 °F,  -,26.1 °F,34%,30.25 in,10.0 mi,NNW,15.0 mph,26.5 mph,N/A,	 ,Clear
3:52 PM,55.9 °F,  -,25.0 °F,30%,30.23 in,10.0 mi,NNW,15.0 mph,24.2 mph,N/A,	 ,Clear
4:52 PM,57.0 °F,  -,26.1 °F,30%,30.23 in,10.0 mi,NNW,13.8 mph,20.7 mph,N/A,	 ,Clear
5:52 PM,57.0 °F,  -,26.1 °F,30%,30.22 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
6:52 PM,55.0 °F,  -,28.0 °F,35%,30.22 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
7:52 PM,52.0 °F,  -,26.1 °F,37%,30.24 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
8:52 PM,50.0 °F,  -,26.1 °F,39%,30.25 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
9:52 PM,46.9 °F,  -,27.0 °F,46%,30.28 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
10:52 PM,46.0 °F,42.5 °F,28.0 °F,50%,30.28 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
11:52 PM,46.0 °F,43.1 °F,27.0 °F,47%,30.28 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
