Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,54.0 °F,  -,36.0 °F,51%,30.06 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1:52 AM,52.0 °F,  -,36.0 °F,54%,30.06 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
2:52 AM,50.0 °F,  -,36.0 °F,59%,30.06 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
3:52 AM,48.0 °F,  -,36.0 °F,63%,30.06 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,46.9 °F,  -,36.0 °F,66%,30.06 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
5:52 AM,46.0 °F,41.9 °F,36.0 °F,68%,30.08 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,45.0 °F,39.7 °F,36.0 °F,71%,30.09 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,45.0 °F,40.1 °F,36.0 °F,71%,30.12 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,50.0 °F,  -,37.0 °F,61%,30.14 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,55.9 °F,  -,36.0 °F,47%,30.15 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,60.1 °F,  -,36.0 °F,41%,30.16 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,62.1 °F,  -,35.1 °F,37%,30.15 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,64.9 °F,  -,34.0 °F,32%,30.11 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,66.9 °F,  -,34.0 °F,30%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 PM,69.1 °F,  -,34.0 °F,27%,30.11 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,70.0 °F,  -,34.0 °F,27%,30.09 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,71.1 °F,  -,34.0 °F,26%,30.08 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,72.0 °F,  -,33.1 °F,24%,30.09 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,71.1 °F,  -,30.9 °F,23%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 PM,68.0 °F,  -,35.1 °F,30%,30.10 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,66.9 °F,  -,35.1 °F,31%,30.10 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,64.0 °F,  -,36.0 °F,35%,30.12 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,62.1 °F,  -,37.0 °F,39%,30.14 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
11:52 PM,60.1 °F,  -,39.0 °F,46%,30.14 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
