Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,61.0 °F,57.9 °F,90%,29.94 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,61.0 °F,57.0 °F,87%,29.93 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,61.0 °F,57.0 °F,87%,29.91 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,60.1 °F,55.0 °F,83%,29.91 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,57.9 °F,54.0 °F,87%,29.92 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,57.0 °F,53.1 °F,87%,29.92 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
6:52 AM,55.9 °F,52.0 °F,87%,29.93 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
7:52 AM,57.0 °F,52.0 °F,83%,29.95 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
8:52 AM,60.1 °F,52.0 °F,75%,29.96 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
9:52 AM,64.9 °F,53.1 °F,65%,29.97 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Clear
10:52 AM,68.0 °F,51.1 °F,55%,29.97 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,70.0 °F,51.1 °F,51%,29.97 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,72.0 °F,51.1 °F,48%,29.97 in,10.0 mi,NW,15.0 mph,21.9 mph,N/A,	 ,Partly Cloudy
1:52 PM,72.0 °F,52.0 °F,49%,29.96 in,10.0 mi,NNW,13.8 mph,23.0 mph,N/A,	 ,Partly Cloudy
2:52 PM,73.9 °F,53.1 °F,48%,29.96 in,10.0 mi,NW,12.7 mph,24.2 mph,N/A,	 ,Scattered Clouds
3:52 PM,75.0 °F,53.1 °F,46%,29.94 in,10.0 mi,NW,11.5 mph,20.7 mph,N/A,	 ,Scattered Clouds
4:52 PM,75.9 °F,53.1 °F,45%,29.93 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,75.0 °F,52.0 °F,44%,29.93 in,10.0 mi,NW,12.7 mph,19.6 mph,N/A,	 ,Scattered Clouds
6:52 PM,73.9 °F,51.1 °F,45%,29.94 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,71.1 °F,51.1 °F,49%,29.95 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,69.1 °F,50.0 °F,51%,29.95 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,66.9 °F,50.0 °F,54%,29.96 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
10:52 PM,64.0 °F,50.0 °F,60%,29.98 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
11:52 PM,62.1 °F,50.0 °F,65%,29.99 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
