Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,61.0 °F,50.0 °F,67%,29.99 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
1:52 AM,63.0 °F,48.9 °F,60%,29.98 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Clear
2:52 AM,62.1 °F,48.9 °F,62%,29.98 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,60.1 °F,48.9 °F,67%,29.98 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
4:52 AM,57.9 °F,48.9 °F,72%,29.99 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
5:52 AM,57.9 °F,48.0 °F,70%,30.01 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
6:52 AM,57.0 °F,48.0 °F,72%,30.04 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
7:52 AM,59.0 °F,48.0 °F,67%,30.08 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Clear
8:52 AM,63.0 °F,46.9 °F,56%,30.10 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,66.0 °F,46.9 °F,50%,30.10 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Clear
10:52 AM,69.1 °F,48.9 °F,49%,30.10 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,71.1 °F,50.0 °F,47%,30.09 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,73.9 °F,52.0 °F,46%,30.07 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,75.9 °F,52.0 °F,43%,30.05 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,77.0 °F,51.1 °F,40%,30.03 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,78.1 °F,52.0 °F,40%,30.01 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,79.0 °F,52.0 °F,39%,30.00 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,79.0 °F,51.1 °F,38%,29.99 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,78.1 °F,51.1 °F,39%,29.99 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,75.0 °F,51.1 °F,43%,29.99 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,73.0 °F,52.0 °F,48%,30.00 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,71.1 °F,52.0 °F,51%,30.01 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,70.0 °F,53.1 °F,55%,30.02 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,68.0 °F,53.1 °F,59%,30.02 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
