Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:06 AM,68.0 °F,  -,61.0 °F,78%,29.87 in,10.0 mi,West,3.5 mph,  -,0.00 in,	 ,Overcast
12:52 AM,66.9 °F,  -,62.1 °F,84%,29.85 in,10.0 mi,South,3.5 mph,  -,0.00 in,	 ,Overcast
1:52 AM,66.9 °F,  -,63.0 °F,87%,29.86 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,66.9 °F,  -,62.1 °F,84%,29.87 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:12 AM,66.9 °F,  -,62.1 °F,84%,29.88 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,66.0 °F,  -,62.1 °F,87%,29.86 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:09 AM,66.0 °F,  -,62.1 °F,87%,29.88 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,66.0 °F,  -,62.1 °F,87%,29.86 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
5:09 AM,66.0 °F,  -,63.0 °F,90%,29.89 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Overcast
5:44 AM,66.0 °F,  -,63.0 °F,90%,29.90 in,6.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
5:52 AM,66.0 °F,  -,64.0 °F,93%,29.88 in,1.5 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
6:16 AM,66.9 °F,  -,64.0 °F,90%,29.91 in,7.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
6:52 AM,68.0 °F,  -,64.0 °F,87%,29.89 in,8.0 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
7:52 AM,68.0 °F,  -,64.0 °F,87%,29.92 in,7.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
8:52 AM,70.0 °F,  -,64.9 °F,84%,29.93 in,8.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
9:07 AM,71.1 °F,  -,64.9 °F,81%,29.95 in,8.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
9:52 AM,72.0 °F,  -,64.9 °F,78%,29.93 in,9.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:58 AM,72.0 °F,  -,64.9 °F,78%,29.96 in,9.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,73.0 °F,  -,64.0 °F,73%,29.95 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:07 AM,75.0 °F,  -,64.0 °F,69%,29.97 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,75.9 °F,  -,63.0 °F,64%,29.96 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,78.1 °F,  -,61.0 °F,56%,29.95 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,82.0 °F,82.4 °F,60.1 °F,47%,29.94 in,10.0 mi,WSW,12.7 mph,19.6 mph,N/A,	 ,Partly Cloudy
2:52 PM,82.0 °F,82.1 °F,59.0 °F,45%,29.93 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,84.0 °F,84.0 °F,60.1 °F,44%,29.91 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,82.9 °F,82.8 °F,59.0 °F,44%,29.90 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,82.9 °F,82.1 °F,55.9 °F,39%,29.90 in,10.0 mi,WSW,10.4 mph,19.6 mph,N/A,	 ,Partly Cloudy
6:52 PM,82.0 °F,81.6 °F,55.9 °F,41%,29.91 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.91 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,77.0 °F,  -,55.9 °F,48%,29.93 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,73.9 °F,  -,60.1 °F,62%,29.95 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,72.0 °F,  -,60.1 °F,66%,29.95 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,71.1 °F,  -,59.0 °F,66%,29.96 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
