Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,68.0 °F,  -,60.1 °F,76%,30.13 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Clear
1:52 AM,66.9 °F,  -,60.1 °F,79%,30.12 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
2:52 AM,66.0 °F,  -,60.1 °F,81%,30.10 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,66.0 °F,  -,61.0 °F,84%,30.12 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
4:52 AM,64.9 °F,  -,61.0 °F,87%,30.12 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Clear
5:52 AM,64.9 °F,  -,61.0 °F,87%,30.12 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,64.0 °F,  -,61.0 °F,90%,30.14 in,8.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,66.9 °F,  -,63.0 °F,87%,30.17 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,71.1 °F,  -,64.0 °F,78%,30.17 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,73.9 °F,  -,64.0 °F,71%,30.17 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,75.9 °F,  -,63.0 °F,64%,30.16 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,79.0 °F,  -,63.0 °F,58%,30.17 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,79.0 °F,  -,62.1 °F,56%,30.17 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,82.9 °F,83.7 °F,62.1 °F,49%,30.15 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,84.0 °F,84.5 °F,62.1 °F,47%,30.13 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,86.0 °F,86.3 °F,62.1 °F,44%,30.12 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,84.9 °F,85.4 °F,62.1 °F,46%,30.10 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,84.0 °F,84.5 °F,62.1 °F,47%,30.09 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,82.9 °F,83.7 °F,62.1 °F,49%,30.08 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,81.0 °F,81.9 °F,62.1 °F,52%,30.08 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,78.1 °F,  -,62.1 °F,58%,30.10 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,75.9 °F,  -,63.0 °F,64%,30.11 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,73.9 °F,  -,63.0 °F,68%,30.13 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,73.0 °F,  -,62.1 °F,68%,30.12 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
