Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,63.0 °F,46.9 °F,56%,29.96 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Clear
1:52 AM,62.1 °F,46.9 °F,58%,29.95 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
2:52 AM,60.1 °F,46.9 °F,62%,29.93 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
3:52 AM,60.1 °F,46.9 °F,62%,29.93 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
4:52 AM,57.9 °F,48.0 °F,70%,29.95 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
5:52 AM,55.9 °F,46.9 °F,72%,29.97 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Clear
6:52 AM,60.1 °F,48.0 °F,64%,29.97 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,64.0 °F,48.9 °F,58%,29.98 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
8:52 AM,68.0 °F,51.1 °F,55%,29.99 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
9:52 AM,73.0 °F,50.0 °F,44%,30.00 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,75.9 °F,48.9 °F,38%,29.99 in,10.0 mi,NNE,13.8 mph,  -,N/A,	 ,Clear
11:52 AM,78.1 °F,48.0 °F,35%,30.00 in,10.0 mi,North,13.8 mph,20.7 mph,N/A,	 ,Partly Cloudy
12:41 PM,80.1 °F,48.0 °F,32%,30.00 in,10.0 mi,NNW,12.7 mph,24.2 mph,N/A,	 ,Partly Cloudy
12:52 PM,79.0 °F,46.9 °F,32%,29.98 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,79.0 °F,46.9 °F,32%,29.97 in,10.0 mi,North,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
2:52 PM,81.0 °F,46.0 °F,29%,29.97 in,10.0 mi,NNW,9.2 mph,21.9 mph,N/A,	 ,Partly Cloudy
3:52 PM,82.0 °F,46.0 °F,28%,29.96 in,10.0 mi,NNW,8.1 mph,17.3 mph,N/A,	 ,Partly Cloudy
4:52 PM,81.0 °F,46.9 °F,30%,29.95 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,82.0 °F,48.0 °F,30%,29.94 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,79.0 °F,46.9 °F,32%,29.94 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,75.9 °F,46.9 °F,36%,29.95 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,73.9 °F,48.9 °F,41%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:52 PM,73.0 °F,51.1 °F,46%,29.98 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,72.0 °F,51.1 °F,48%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:52 PM,69.1 °F,52.0 °F,54%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
