Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.9 °F,  -,66.0 °F,76%,29.89 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,73.9 °F,  -,64.9 °F,73%,29.88 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,73.0 °F,  -,66.0 °F,79%,29.86 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,72.0 °F,  -,64.9 °F,78%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,72.0 °F,  -,64.9 °F,78%,29.90 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,72.0 °F,  -,64.9 °F,78%,29.91 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,71.1 °F,  -,64.9 °F,81%,29.92 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,73.9 °F,  -,64.9 °F,73%,29.92 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,77.0 °F,  -,66.0 °F,69%,29.94 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,81.0 °F,83.0 °F,66.0 °F,60%,29.93 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,82.9 °F,85.0 °F,66.0 °F,56%,29.92 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,86.0 °F,89.4 °F,68.0 °F,55%,29.92 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,90.0 °F,93.6 °F,68.0 °F,48%,29.91 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,91.0 °F,96.6 °F,70.0 °F,50%,29.90 in,10.0 mi,NW,11.5 mph,19.6 mph,N/A,	 ,Partly Cloudy
2:52 PM,91.0 °F,96.6 °F,70.0 °F,50%,29.87 in,10.0 mi,WNW,12.7 mph,19.6 mph,N/A,	 ,Scattered Clouds
3:52 PM,91.0 °F,95.2 °F,68.0 °F,47%,29.86 in,10.0 mi,NNW,15.0 mph,26.5 mph,N/A,	 ,Scattered Clouds
4:52 PM,93.9 °F,98.6 °F,68.0 °F,43%,29.84 in,10.0 mi,NNW,15.0 mph,23.0 mph,N/A,	 ,Partly Cloudy
5:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,29.84 in,10.0 mi,NNW,9.2 mph,17.3 mph,N/A,	 ,Scattered Clouds
6:52 PM,90.0 °F,91.7 °F,64.9 °F,43%,29.84 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,29.84 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,84.0 °F,87.8 °F,69.1 °F,61%,29.86 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,81.0 °F,84.1 °F,69.1 °F,67%,29.86 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,80.1 °F,82.9 °F,69.1 °F,69%,29.85 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,78.1 °F,  -,69.1 °F,74%,29.84 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
