Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.9 °F,  -,68.0 °F,82%,29.90 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,73.9 °F,  -,66.9 °F,79%,29.90 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,73.0 °F,  -,66.9 °F,81%,29.92 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,73.0 °F,  -,66.0 °F,79%,29.93 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Overcast
4:52 AM,73.0 °F,  -,64.9 °F,76%,29.94 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,73.0 °F,  -,64.9 °F,76%,29.96 in,10.0 mi,East,17.3 mph,26.5 mph,N/A,	 ,Mostly Cloudy
6:52 AM,73.0 °F,  -,64.0 °F,73%,29.99 in,10.0 mi,East,21.9 mph,27.6 mph,N/A,	 ,Mostly Cloudy
7:52 AM,72.0 °F,  -,62.1 °F,71%,30.04 in,10.0 mi,East,18.4 mph,  -,N/A,	 ,Mostly Cloudy
8:10 AM,72.0 °F,  -,62.1 °F,71%,30.07 in,10.0 mi,East,18.4 mph,  -,N/A,	 ,Overcast
8:52 AM,72.0 °F,  -,62.1 °F,71%,30.08 in,10.0 mi,East,19.6 mph,  -,N/A,	 ,Overcast
9:52 AM,73.0 °F,  -,62.1 °F,68%,30.10 in,10.0 mi,East,18.4 mph,27.6 mph,N/A,	 ,Overcast
10:24 AM,73.9 °F,  -,63.0 °F,68%,30.12 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,73.9 °F,  -,62.1 °F,66%,30.11 in,10.0 mi,East,20.7 mph,27.6 mph,N/A,	 ,Mostly Cloudy
11:52 AM,75.9 °F,  -,62.1 °F,62%,30.13 in,10.0 mi,ENE,25.3 mph,  -,N/A,	 ,Mostly Cloudy
12:06 PM,75.9 °F,  -,63.0 °F,64%,30.16 in,10.0 mi,ENE,23.0 mph,  -,N/A,	 ,Mostly Cloudy
12:34 PM,75.0 °F,  -,63.0 °F,66%,30.16 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,77.0 °F,  -,63.0 °F,62%,30.14 in,10.0 mi,East,16.1 mph,25.3 mph,N/A,	 ,Mostly Cloudy
1:28 PM,75.0 °F,  -,62.1 °F,64%,30.16 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,75.9 °F,  -,62.1 °F,62%,30.14 in,10.0 mi,East,12.7 mph,27.6 mph,N/A,	 ,Overcast
2:52 PM,77.0 °F,  -,63.0 °F,62%,30.14 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,79.0 °F,  -,63.0 °F,58%,30.13 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,80.1 °F,81.5 °F,63.0 °F,56%,30.13 in,10.0 mi,East,13.8 mph,20.7 mph,N/A,	 ,Mostly Cloudy
5:52 PM,79.0 °F,  -,64.0 °F,60%,30.14 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,79.0 °F,  -,63.0 °F,58%,30.14 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Overcast
7:52 PM,79.0 °F,  -,63.0 °F,58%,30.16 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,77.0 °F,  -,63.0 °F,62%,30.18 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,75.9 °F,  -,62.1 °F,62%,30.20 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,75.0 °F,  -,63.0 °F,66%,30.21 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,73.9 °F,  -,63.0 °F,68%,30.22 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
