Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.0 °F,  -,55.9 °F,55%,30.19 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,72.0 °F,  -,55.9 °F,57%,30.19 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,71.1 °F,  -,55.9 °F,59%,30.18 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,70.0 °F,  -,55.9 °F,61%,30.14 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,70.0 °F,  -,57.0 °F,63%,30.13 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,69.1 °F,  -,57.0 °F,65%,30.13 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,70.0 °F,  -,57.9 °F,65%,30.14 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,71.1 °F,  -,59.0 °F,66%,30.15 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,75.0 °F,  -,60.1 °F,60%,30.16 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,79.0 °F,  -,62.1 °F,56%,30.16 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,82.9 °F,84.0 °F,63.0 °F,51%,30.16 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,86.0 °F,86.3 °F,62.1 °F,44%,30.15 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,88.0 °F,87.9 °F,61.0 °F,40%,30.14 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,88.0 °F,87.1 °F,59.0 °F,37%,30.12 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,91.0 °F,90.2 °F,59.0 °F,34%,30.10 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,91.0 °F,90.0 °F,57.9 °F,33%,30.07 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,91.9 °F,90.8 °F,57.9 °F,32%,30.04 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,91.0 °F,90.2 °F,59.0 °F,34%,30.01 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,89.1 °F,88.2 °F,59.0 °F,36%,30.02 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,87.1 °F,86.5 °F,59.0 °F,39%,30.03 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,84.0 °F,84.0 °F,60.1 °F,44%,30.04 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,82.9 °F,83.3 °F,61.0 °F,47%,30.06 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,82.0 °F,82.7 °F,61.0 °F,49%,30.04 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,80.1 °F,81.1 °F,61.0 °F,52%,30.07 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
