Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,84.0 °F,87.0 °F,68.0 °F,58%,30.02 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,82.0 °F,84.9 °F,68.0 °F,62%,30.02 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,82.0 °F,84.9 °F,68.0 °F,62%,30.01 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,80.1 °F,82.7 °F,68.0 °F,67%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,78.1 °F,  -,69.1 °F,74%,30.02 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,77.0 °F,  -,69.1 °F,76%,30.03 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,75.9 °F,  -,70.0 °F,82%,30.06 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,80.1 °F,83.2 °F,70.0 °F,71%,30.07 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,84.9 °F,89.4 °F,70.0 °F,61%,30.09 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,87.1 °F,92.0 °F,70.0 °F,57%,30.09 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,91.0 °F,97.6 °F,71.1 °F,52%,30.09 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,93.0 °F,97.9 °F,69.1 °F,45%,30.08 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,95.0 °F,99.5 °F,68.0 °F,41%,30.07 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,97.0 °F,99.9 °F,64.9 °F,35%,30.06 in,10.0 mi,WNW,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
2:52 PM,98.1 °F,98.6 °F,61.0 °F,29%,30.04 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,99.0 °F,101.7 °F,64.0 °F,32%,30.03 in,10.0 mi,NW,11.5 mph,18.4 mph,N/A,	 ,Scattered Clouds
4:52 PM,98.1 °F,99.6 °F,63.0 °F,31%,30.01 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,98.1 °F,101.2 °F,64.9 °F,34%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,98.1 °F,99.6 °F,63.0 °F,31%,30.00 in,10.0 mi,North,13.8 mph,18.4 mph,N/A,	 ,Scattered Clouds
7:52 PM,96.1 °F,96.4 °F,61.0 °F,31%,30.01 in,10.0 mi,NNW,10.4 mph,21.9 mph,N/A,	 ,Mostly Cloudy
8:52 PM,93.0 °F,93.8 °F,62.1 °F,36%,30.02 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,91.9 °F,92.9 °F,63.0 °F,38%,30.03 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,91.0 °F,93.0 °F,64.9 °F,42%,30.05 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,89.1 °F,90.0 °F,63.0 °F,42%,30.06 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
