Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,80.1 °F,82.9 °F,69.1 °F,69%,30.01 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,77.0 °F,  -,70.0 °F,79%,30.02 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,78.1 °F,  -,70.0 °F,76%,30.02 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,79.0 °F,  -,70.0 °F,74%,30.01 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
4:52 AM,78.1 °F,  -,70.0 °F,76%,30.01 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,77.0 °F,  -,70.0 °F,79%,30.03 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,75.9 °F,  -,70.0 °F,82%,30.05 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,78.1 °F,  -,72.0 °F,81%,30.06 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,81.0 °F,85.2 °F,72.0 °F,74%,30.07 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,84.9 °F,90.7 °F,72.0 °F,65%,30.07 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,87.1 °F,93.6 °F,72.0 °F,61%,30.06 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,88.0 °F,92.9 °F,70.0 °F,55%,30.07 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,89.1 °F,92.9 °F,68.0 °F,50%,30.06 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,91.9 °F,95.9 °F,68.0 °F,45%,30.03 in,10.0 mi,SW,16.1 mph,25.3 mph,N/A,	 ,Mostly Cloudy
2:52 PM,93.0 °F,97.9 °F,69.1 °F,45%,30.01 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,95.0 °F,99.5 °F,68.0 °F,41%,30.01 in,10.0 mi,WSW,10.4 mph,18.4 mph,N/A,	 ,Mostly Cloudy
4:52 PM,93.0 °F,97.4 °F,68.0 °F,44%,30.00 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,93.0 °F,97.9 °F,69.1 °F,45%,29.97 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,93.0 °F,97.4 °F,68.0 °F,44%,29.97 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,91.9 °F,95.9 °F,68.0 °F,45%,29.98 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,89.1 °F,92.1 °F,66.9 °F,48%,29.98 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,84.9 °F,90.1 °F,71.1 °F,63%,29.99 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,82.9 °F,88.0 °F,72.0 °F,69%,30.00 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,82.0 °F,86.7 °F,72.0 °F,71%,30.02 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Partly Cloudy
