Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,75.0 °F,  -,66.9 °F,76%,30.17 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,75.0 °F,  -,69.1 °F,82%,30.17 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,75.0 °F,  -,66.9 °F,76%,30.16 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,75.0 °F,  -,66.9 °F,76%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,75.9 °F,  -,66.0 °F,71%,30.17 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,75.9 °F,  -,61.0 °F,60%,30.17 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,75.0 °F,  -,60.1 °F,60%,30.19 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,75.0 °F,  -,61.0 °F,62%,30.21 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,79.0 °F,  -,61.0 °F,54%,30.23 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,81.0 °F,83.0 °F,66.0 °F,60%,30.24 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,82.9 °F,85.8 °F,68.0 °F,60%,30.25 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,87.1 °F,90.6 °F,68.0 °F,53%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
12:52 PM,87.1 °F,89.9 °F,66.9 °F,51%,30.25 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,89.1 °F,91.3 °F,66.0 °F,46%,30.22 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 PM,90.0 °F,93.6 °F,68.0 °F,48%,30.19 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,90.0 °F,92.8 °F,66.9 °F,46%,30.18 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,30.16 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,30.16 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,90.0 °F,92.4 °F,66.0 °F,45%,30.17 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,88.0 °F,90.7 °F,66.9 °F,49%,30.17 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,84.9 °F,88.2 °F,68.0 °F,57%,30.18 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,82.0 °F,85.9 °F,70.0 °F,67%,30.20 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,82.0 °F,86.3 °F,71.1 °F,69%,30.22 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,81.0 °F,84.9 °F,71.1 °F,72%,30.22 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
