Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,81.0 °F,84.9 °F,71.1 °F,72%,30.06 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,79.0 °F,  -,71.1 °F,77%,30.07 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,78.1 °F,  -,72.0 °F,81%,30.05 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,78.1 °F,  -,72.0 °F,81%,30.04 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Clear
4:52 AM,75.9 °F,  -,72.0 °F,87%,30.04 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,75.0 °F,  -,72.0 °F,90%,30.04 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,75.0 °F,  -,71.1 °F,87%,30.06 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,75.0 °F,  -,71.1 °F,87%,30.08 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,78.1 °F,  -,71.1 °F,79%,30.10 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,80.1 °F,82.9 °F,69.1 °F,69%,30.10 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,82.9 °F,87.0 °F,70.0 °F,65%,30.10 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,84.9 °F,89.4 °F,70.0 °F,61%,30.09 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,88.0 °F,93.8 °F,71.1 °F,57%,30.09 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,88.0 °F,92.9 °F,70.0 °F,55%,30.07 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,91.0 °F,95.2 °F,68.0 °F,47%,30.06 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,91.0 °F,95.2 °F,68.0 °F,47%,30.04 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,91.0 °F,95.6 °F,69.1 °F,48%,30.02 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,30.01 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,30.00 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,88.0 °F,91.4 °F,68.0 °F,51%,30.02 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,86.0 °F,89.4 °F,68.0 °F,55%,30.04 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,84.9 °F,90.1 °F,71.1 °F,63%,30.06 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,82.0 °F,86.7 °F,72.0 °F,71%,30.09 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,81.0 °F,85.2 °F,72.0 °F,74%,30.09 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Clear
