Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,79.0 °F,  -,75.0 °F,88%,29.96 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,78.1 °F,  -,75.0 °F,90%,29.95 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,77.0 °F,  -,75.0 °F,94%,29.95 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,75.9 °F,  -,73.9 °F,94%,29.95 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:15 AM,75.9 °F,  -,73.9 °F,94%,29.99 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,75.9 °F,  -,73.9 °F,94%,29.97 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
5:52 AM,75.9 °F,  -,73.9 °F,94%,29.99 in,8.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
6:52 AM,75.9 °F,  -,73.9 °F,94%,30.00 in,6.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
6:56 AM,75.0 °F,  -,73.9 °F,96%,30.02 in,3.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
7:52 AM,75.9 °F,  -,73.9 °F,94%,30.00 in,3.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
8:52 AM,77.0 °F,  -,73.9 °F,90%,30.00 in,3.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
9:52 AM,78.1 °F,  -,75.0 °F,90%,30.00 in,3.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:05 AM,79.0 °F,  -,75.0 °F,88%,30.03 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:09 AM,79.0 °F,  -,75.0 °F,88%,30.03 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:52 AM,81.0 °F,86.7 °F,75.0 °F,82%,30.00 in,6.0 mi,North,6.9 mph,  -,N/A,	 ,Haze
11:31 AM,82.0 °F,88.6 °F,75.0 °F,79%,30.04 in,8.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,82.0 °F,88.6 °F,75.0 °F,79%,30.01 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:52 PM,86.0 °F,93.8 °F,73.9 °F,67%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 PM,89.1 °F,97.0 °F,73.0 °F,59%,29.97 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,91.0 °F,99.3 °F,73.0 °F,55%,29.95 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,91.9 °F,97.4 °F,70.0 °F,48%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:52 PM,93.9 °F,97.5 °F,66.9 °F,41%,29.90 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,29.90 in,10.0 mi,NW,16.1 mph,20.7 mph,N/A,	 ,Mostly Cloudy
6:52 PM,84.0 °F,87.0 °F,68.0 °F,58%,29.91 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,84.9 °F,88.2 °F,68.0 °F,57%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:52 PM,82.0 °F,86.3 °F,71.1 °F,69%,29.93 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,81.0 °F,85.2 °F,72.0 °F,74%,29.96 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,79.0 °F,  -,72.0 °F,79%,29.96 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,79.0 °F,  -,71.1 °F,77%,29.95 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
