Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,75.9 °F,  -,64.9 °F,69%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 AM,73.0 °F,  -,66.9 °F,81%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,72.0 °F,  -,66.0 °F,81%,30.04 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,73.0 °F,  -,66.0 °F,79%,30.05 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,73.9 °F,  -,64.9 °F,73%,30.05 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,71.1 °F,  -,66.0 °F,84%,30.06 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,72.0 °F,  -,66.0 °F,81%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
7:52 AM,72.0 °F,  -,66.0 °F,81%,30.08 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,75.0 °F,  -,66.9 °F,76%,30.09 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,78.1 °F,  -,66.9 °F,68%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:52 AM,80.1 °F,82.1 °F,66.0 °F,62%,30.10 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,82.9 °F,84.4 °F,64.0 °F,53%,30.09 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,86.0 °F,86.8 °F,63.0 °F,46%,30.07 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,86.0 °F,86.8 °F,63.0 °F,46%,30.06 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,90.0 °F,91.3 °F,64.0 °F,42%,30.03 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,90.0 °F,90.6 °F,63.0 °F,40%,30.01 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,88.0 °F,87.9 °F,61.0 °F,40%,30.00 in,10.0 mi,North,10.4 mph,17.3 mph,N/A,	 ,Mostly Cloudy
5:52 PM,89.1 °F,90.0 °F,63.0 °F,42%,30.00 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,88.0 °F,88.4 °F,62.1 °F,42%,30.01 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,86.0 °F,86.3 °F,62.1 °F,44%,30.01 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,84.9 °F,85.9 °F,63.0 °F,48%,30.02 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,81.0 °F,82.5 °F,64.0 °F,56%,30.04 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,79.0 °F,  -,64.0 °F,60%,30.05 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,75.9 °F,  -,64.0 °F,67%,30.06 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
