Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,75.9 °F,  -,64.0 °F,67%,30.07 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,75.0 °F,  -,64.9 °F,71%,30.05 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,73.9 °F,  -,64.9 °F,73%,30.04 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
3:52 AM,73.0 °F,  -,64.9 °F,76%,30.04 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,72.0 °F,  -,64.9 °F,78%,30.05 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,71.1 °F,  -,64.0 °F,78%,30.06 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,71.1 °F,  -,64.0 °F,78%,30.07 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,71.1 °F,  -,64.0 °F,78%,30.08 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,73.9 °F,  -,64.9 °F,73%,30.09 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,77.0 °F,  -,64.4 °F,65%,30.10 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,79.0 °F,  -,64.9 °F,62%,30.09 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,82.0 °F,83.4 °F,64.0 °F,54%,30.08 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,84.0 °F,85.4 °F,64.0 °F,51%,30.06 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,86.0 °F,87.3 °F,64.0 °F,48%,30.04 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,88.0 °F,89.3 °F,64.0 °F,45%,30.02 in,10.0 mi,NW,12.7 mph,20.7 mph,N/A,	 ,Scattered Clouds
3:16 PM,88.0 °F,89.3 °F,64.0 °F,45%,30.04 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,88.0 °F,89.3 °F,64.0 °F,45%,30.00 in,10.0 mi,WNW,4.6 mph,16.1 mph,N/A,	 ,Scattered Clouds
4:52 PM,88.0 °F,89.3 °F,64.0 °F,45%,29.99 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,88.0 °F,88.7 °F,63.0 °F,43%,29.98 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,88.0 °F,88.7 °F,63.0 °F,43%,29.97 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,86.0 °F,86.3 °F,62.1 °F,44%,29.97 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,84.9 °F,85.9 °F,63.0 °F,48%,29.98 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,82.0 °F,83.4 °F,64.0 °F,54%,30.00 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,79.0 °F,  -,66.0 °F,64%,30.02 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,78.1 °F,  -,66.0 °F,66%,30.04 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
