Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,72.0 °F,  -,69.1 °F,91%,29.89 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 AM,71.1 °F,  -,69.1 °F,93%,29.89 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:52 AM,70.0 °F,  -,68.0 °F,93%,29.88 in,9.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,70.0 °F,  -,69.1 °F,97%,29.88 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,69.1 °F,  -,68.0 °F,96%,29.89 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,69.1 °F,  -,66.9 °F,93%,29.90 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,68.0 °F,  -,66.0 °F,93%,29.91 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,66.9 °F,  -,62.1 °F,84%,29.92 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,68.0 °F,  -,61.0 °F,78%,29.94 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
9:52 AM,71.1 °F,  -,59.0 °F,66%,29.95 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,75.0 °F,  -,57.9 °F,55%,29.96 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
11:52 AM,79.0 °F,  -,53.1 °F,40%,29.96 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
12:52 PM,82.0 °F,  -,50.0 °F,33%,29.94 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
1:52 PM,84.0 °F,82.6 °F,54.0 °F,35%,29.93 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,84.0 °F,83.0 °F,55.9 °F,38%,29.91 in,10.0 mi,Variable,6.9 mph,17.3 mph,N/A,	 ,Partly Cloudy
3:52 PM,84.9 °F,83.7 °F,55.9 °F,37%,29.89 in,10.0 mi,SW,16.1 mph,21.9 mph,N/A,	 ,Partly Cloudy
4:52 PM,86.0 °F,84.9 °F,57.0 °F,37%,29.88 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,86.0 °F,84.5 °F,55.0 °F,35%,29.88 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,84.0 °F,  -,50.0 °F,31%,29.88 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
7:52 PM,80.1 °F,  -,50.0 °F,35%,29.89 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
8:52 PM,75.9 °F,  -,48.0 °F,37%,29.91 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
9:52 PM,73.0 °F,  -,48.9 °F,42%,29.92 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
10:52 PM,70.0 °F,  -,50.0 °F,49%,29.92 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
11:52 PM,71.1 °F,  -,46.0 °F,41%,29.92 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
