Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,72.0 °F,  -,64.0 °F,76%,30.02 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,71.1 °F,  -,63.0 °F,75%,30.02 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,71.1 °F,  -,63.0 °F,75%,30.01 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,70.0 °F,  -,62.1 °F,76%,30.01 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,70.0 °F,  -,61.0 °F,73%,30.01 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,71.1 °F,  -,60.1 °F,68%,30.03 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,70.0 °F,  -,57.9 °F,65%,30.04 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,69.1 °F,  -,57.9 °F,68%,30.05 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,70.0 °F,  -,57.9 °F,65%,30.06 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,73.0 °F,  -,59.0 °F,61%,30.09 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,73.0 °F,  -,57.9 °F,59%,30.09 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,75.0 °F,  -,57.9 °F,55%,30.10 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,75.9 °F,  -,57.0 °F,52%,30.09 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,77.0 °F,  -,57.0 °F,50%,30.08 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Overcast
2:52 PM,78.1 °F,  -,57.9 °F,50%,30.07 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,79.0 °F,  -,59.0 °F,50%,30.04 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,80.1 °F,80.7 °F,59.0 °F,48%,30.04 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,80.1 °F,80.7 °F,59.0 °F,48%,30.05 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,80.1 °F,80.9 °F,60.1 °F,50%,30.05 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,78.1 °F,  -,62.1 °F,58%,30.06 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,73.9 °F,  -,62.1 °F,66%,30.07 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,73.9 °F,  -,61.0 °F,64%,30.09 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,72.0 °F,  -,63.0 °F,73%,30.10 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,73.0 °F,  -,61.0 °F,66%,30.10 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
