Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.9 °F,  -,61.0 °F,64%,30.10 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,73.0 °F,  -,62.1 °F,68%,30.10 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,72.0 °F,  -,62.1 °F,71%,30.09 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,72.0 °F,  -,62.1 °F,71%,30.08 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,72.0 °F,  -,63.0 °F,73%,30.08 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,71.1 °F,  -,63.0 °F,75%,30.08 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,71.1 °F,  -,63.0 °F,75%,30.09 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,71.1 °F,  -,63.0 °F,75%,30.09 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,73.9 °F,  -,64.0 °F,71%,30.11 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,79.0 °F,  -,64.9 °F,62%,30.11 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,82.0 °F,83.8 °F,64.9 °F,56%,30.11 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,86.0 °F,87.6 °F,64.9 °F,49%,30.11 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,88.0 °F,90.3 °F,66.0 °F,48%,30.09 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,90.0 °F,88.6 °F,57.0 °F,33%,30.07 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,90.0 °F,88.8 °F,57.9 °F,34%,30.05 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,91.0 °F,90.0 °F,57.9 °F,33%,30.03 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,91.9 °F,91.5 °F,60.1 °F,34%,30.01 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,91.0 °F,90.5 °F,60.1 °F,35%,30.01 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,89.1 °F,88.2 °F,59.0 °F,36%,30.00 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,84.9 °F,85.0 °F,61.0 °F,44%,30.01 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,82.9 °F,83.3 °F,61.0 °F,47%,30.01 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,82.0 °F,82.7 °F,61.0 °F,49%,30.03 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
10:52 PM,81.0 °F,81.9 °F,62.1 °F,52%,30.04 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
11:52 PM,79.0 °F,  -,61.0 °F,54%,30.03 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
