Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,54.0 °F,52.0 °F,93%,29.96 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,53.1 °F,52.0 °F,96%,29.94 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,52.0 °F,51.1 °F,97%,29.94 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
3:52 AM,51.1 °F,51.1 °F,100%,29.93 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,51.1 °F,50.0 °F,96%,29.91 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,51.1 °F,50.0 °F,96%,29.91 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
6:52 AM,50.0 °F,48.9 °F,96%,29.92 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
7:52 AM,51.1 °F,48.9 °F,92%,29.92 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
8:52 AM,53.1 °F,48.0 °F,83%,29.94 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,55.9 °F,50.0 °F,80%,29.95 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
10:52 AM,60.1 °F,50.0 °F,69%,29.94 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,64.9 °F,48.9 °F,56%,29.95 in,10.0 mi,WNW,11.5 mph,20.7 mph,N/A,	 ,Partly Cloudy
12:52 PM,66.9 °F,46.0 °F,47%,29.93 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,66.0 °F,41.0 °F,40%,29.92 in,10.0 mi,WNW,18.4 mph,24.2 mph,N/A,	 ,Partly Cloudy
2:52 PM,66.9 °F,41.0 °F,39%,29.90 in,10.0 mi,WNW,19.6 mph,31.1 mph,N/A,	 ,Partly Cloudy
3:52 PM,66.0 °F,39.9 °F,38%,29.89 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,66.0 °F,39.0 °F,37%,29.89 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,63.0 °F,37.9 °F,40%,29.91 in,10.0 mi,WNW,15.0 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,59.0 °F,37.9 °F,46%,29.93 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,57.0 °F,37.9 °F,49%,29.95 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,54.0 °F,39.0 °F,57%,29.97 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,51.1 °F,39.9 °F,66%,29.98 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,48.9 °F,41.0 °F,74%,29.99 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,48.9 °F,39.9 °F,71%,29.99 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
