Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,42.1 °F,33.6 °F,39.0 °F,89%,29.81 in,10.0 mi,NW,18.4 mph,26.5 mph,N/A,	 ,Overcast
1:52 AM,42.1 °F,34.5 °F,37.9 °F,85%,29.79 in,10.0 mi,NW,15.0 mph,23.0 mph,N/A,	 ,Overcast
2:52 AM,41.0 °F,32.5 °F,37.0 °F,86%,29.78 in,10.0 mi,NW,17.3 mph,27.6 mph,N/A,	 ,Overcast
3:52 AM,41.0 °F,32.5 °F,36.0 °F,82%,29.78 in,10.0 mi,NW,17.3 mph,34.5 mph,N/A,	 ,Overcast
4:52 AM,39.0 °F,30.3 °F,35.1 °F,86%,29.77 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Scattered Clouds
5:09 AM,39.0 °F,30.3 °F,36.0 °F,89%,29.76 in,10.0 mi,WNW,16.1 mph,25.3 mph,N/A,	 ,Mostly Cloudy
5:52 AM,37.9 °F,28.5 °F,34.0 °F,86%,29.78 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,37.9 °F,28.2 °F,33.1 °F,83%,29.78 in,10.0 mi,NW,18.4 mph,26.5 mph,N/A,	 ,Overcast
7:52 AM,37.9 °F,28.9 °F,33.1 °F,83%,29.79 in,10.0 mi,WNW,16.1 mph,24.2 mph,N/A,	 ,Overcast
8:52 AM,37.9 °F,28.9 °F,32.0 °F,79%,29.81 in,10.0 mi,WNW,16.1 mph,25.3 mph,N/A,	 ,Overcast
9:52 AM,37.9 °F,28.2 °F,30.9 °F,76%,29.83 in,10.0 mi,NW,18.4 mph,32.2 mph,N/A,	 ,Overcast
10:52 AM,37.9 °F,27.3 °F,30.9 °F,76%,29.84 in,10.0 mi,NW,21.9 mph,32.2 mph,N/A,	 ,Overcast
11:52 AM,37.9 °F,26.8 °F,30.0 °F,73%,29.85 in,10.0 mi,NW,24.2 mph,34.5 mph,N/A,	 ,Overcast
12:52 PM,39.0 °F,28.8 °F,30.9 °F,73%,29.85 in,10.0 mi,NW,21.9 mph,36.8 mph,N/A,	 ,Overcast
1:52 PM,41.0 °F,30.9 °F,30.9 °F,67%,29.84 in,10.0 mi,NW,24.2 mph,39.1 mph,N/A,	 ,Overcast
2:52 PM,41.0 °F,30.7 °F,30.9 °F,67%,29.83 in,10.0 mi,WNW,25.3 mph,34.5 mph,N/A,	 ,Overcast
3:07 PM,41.0 °F,30.9 °F,30.0 °F,65%,29.82 in,10.0 mi,WNW,24.2 mph,31.1 mph,N/A,	 ,Overcast
3:52 PM,42.1 °F,33.3 °F,30.0 °F,62%,29.83 in,10.0 mi,NNW,19.6 mph,33.4 mph,N/A,	 ,Mostly Cloudy
4:52 PM,43.0 °F,33.8 °F,30.0 °F,60%,29.85 in,10.0 mi,NW,23.0 mph,35.7 mph,N/A,	 ,Mostly Cloudy
5:52 PM,43.0 °F,33.8 °F,30.0 °F,60%,29.86 in,10.0 mi,NW,23.0 mph,31.1 mph,N/A,	 ,Scattered Clouds
6:52 PM,41.0 °F,34.7 °F,30.9 °F,67%,29.87 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,39.0 °F,31.8 °F,32.0 °F,76%,29.87 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
8:52 PM,37.9 °F,30.9 °F,32.0 °F,79%,29.87 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
9:52 PM,37.0 °F,30.4 °F,32.0 °F,82%,29.88 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
10:52 PM,36.0 °F,28.5 °F,32.0 °F,86%,29.90 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
11:52 PM,36.0 °F,29.6 °F,30.9 °F,82%,29.90 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
