Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
1:52 AM,66.0 °F,57.9 °F,75%,30.33 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,64.9 °F,57.9 °F,78%,30.33 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,63.0 °F,57.9 °F,84%,30.33 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,62.1 °F,57.9 °F,86%,30.34 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,62.1 °F,57.9 °F,86%,30.36 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Clear
6:52 AM,61.0 °F,57.9 °F,90%,30.38 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,61.0 °F,57.9 °F,90%,30.40 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,64.0 °F,59.0 °F,84%,30.42 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,68.0 °F,57.9 °F,70%,30.43 in,10.0 mi,East,13.8 mph,19.6 mph,N/A,	 ,Partly Cloudy
10:52 AM,71.1 °F,57.9 °F,63%,30.44 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,75.0 °F,57.0 °F,53%,30.44 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,77.0 °F,55.9 °F,48%,30.43 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,77.0 °F,55.9 °F,48%,30.40 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,79.0 °F,55.9 °F,45%,30.38 in,10.0 mi,East,12.7 mph,20.7 mph,N/A,	 ,Scattered Clouds
3:52 PM,78.1 °F,55.9 °F,46%,30.38 in,10.0 mi,ENE,15.0 mph,24.2 mph,N/A,	 ,Scattered Clouds
4:52 PM,79.0 °F,55.0 °F,44%,30.36 in,10.0 mi,East,11.5 mph,18.4 mph,N/A,	 ,Scattered Clouds
5:52 PM,77.0 °F,54.0 °F,45%,30.36 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,75.0 °F,55.0 °F,50%,30.37 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,72.0 °F,55.0 °F,55%,30.38 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,71.1 °F,54.0 °F,55%,30.40 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Clear
9:52 PM,70.0 °F,55.0 °F,59%,30.41 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Clear
10:52 PM,68.0 °F,54.0 °F,61%,30.42 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Clear
11:52 PM,68.0 °F,54.0 °F,61%,30.42 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Clear
