Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,45.0 °F,41.2 °F,37.9 °F,76%,30.12 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,43.0 °F,38.8 °F,37.9 °F,82%,30.12 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,43.0 °F,38.2 °F,37.9 °F,82%,30.13 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
3:52 AM,43.0 °F,40.3 °F,37.9 °F,82%,30.12 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
4:52 AM,42.1 °F,38.4 °F,37.0 °F,82%,30.13 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,43.0 °F,41.3 °F,37.0 °F,80%,30.14 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,41.0 °F,38.0 °F,37.0 °F,86%,30.17 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,46.9 °F,  -,37.0 °F,68%,30.18 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,50.0 °F,  -,37.9 °F,63%,30.21 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,55.0 °F,  -,37.0 °F,51%,30.21 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,57.9 °F,  -,39.0 °F,49%,30.19 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,61.0 °F,  -,41.0 °F,48%,30.18 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,63.0 °F,  -,42.1 °F,46%,30.14 in,10.0 mi,East,9.2 mph,16.1 mph,N/A,	 ,Partly Cloudy
1:52 PM,64.9 °F,  -,42.1 °F,43%,30.12 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,66.0 °F,  -,42.1 °F,42%,30.10 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,64.9 °F,  -,43.0 °F,45%,30.09 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,64.0 °F,  -,42.1 °F,45%,30.09 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,60.1 °F,  -,44.1 °F,55%,30.10 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,57.9 °F,  -,44.1 °F,60%,30.10 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
7:52 PM,55.9 °F,  -,44.1 °F,64%,30.10 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,54.0 °F,  -,44.1 °F,69%,30.10 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,53.1 °F,  -,44.1 °F,71%,30.09 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,53.1 °F,  -,44.1 °F,71%,30.09 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,51.1 °F,  -,44.1 °F,77%,30.08 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
