Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:35 AM,55.9 °F,  -,54.0 °F,93%,30.04 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Overcast
12:52 AM,55.9 °F,  -,54.0 °F,93%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1:52 AM,55.0 °F,  -,54.0 °F,96%,30.04 in,10.0 mi,Calm,Calm,  -,0.00 in,	 ,Overcast
2:12 AM,55.9 °F,  -,54.0 °F,93%,30.03 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Overcast
2:52 AM,55.0 °F,  -,54.0 °F,96%,30.01 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:00 AM,54.0 °F,  -,53.1 °F,97%,30.02 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,53.1 °F,  -,53.1 °F,100%,30.00 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,52.0 °F,  -,52.0 °F,100%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 AM,50.0 °F,  -,50.0 °F,100%,30.01 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
6:52 AM,48.9 °F,  -,46.0 °F,90%,30.01 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,48.0 °F,  -,44.1 °F,86%,30.04 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,50.0 °F,  -,42.1 °F,74%,30.07 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,55.0 °F,  -,41.0 °F,59%,30.09 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,59.0 °F,  -,39.0 °F,48%,30.09 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,61.0 °F,  -,39.0 °F,44%,30.06 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,61.0 °F,  -,37.9 °F,42%,30.04 in,10.0 mi,NW,15.0 mph,21.9 mph,N/A,	 ,Mostly Cloudy
2:52 PM,61.0 °F,  -,37.0 °F,41%,30.03 in,10.0 mi,NNW,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
3:52 PM,60.1 °F,  -,37.0 °F,42%,30.03 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,57.9 °F,  -,37.9 °F,47%,30.05 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,55.0 °F,  -,37.0 °F,51%,30.07 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,53.1 °F,  -,36.0 °F,52%,30.08 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,50.0 °F,  -,35.1 °F,57%,30.08 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,48.0 °F,  -,34.0 °F,58%,30.09 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,46.9 °F,  -,33.1 °F,59%,30.09 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,45.0 °F,41.8 °F,32.0 °F,60%,30.09 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,44.1 °F,39.0 °F,32.0 °F,63%,30.09 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
