Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,46.0 °F,43.1 °F,39.0 °F,76%,30.02 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,45.0 °F,41.8 °F,39.0 °F,80%,30.02 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,44.1 °F,40.8 °F,37.9 °F,79%,30.01 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,43.0 °F,39.5 °F,37.9 °F,82%,30.02 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
4:52 AM,42.1 °F,  -,37.0 °F,82%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:52 AM,43.0 °F,39.5 °F,37.9 °F,82%,30.04 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,42.1 °F,38.4 °F,37.0 °F,82%,30.04 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,42.8 °F,40.1 °F,37.4 °F,81%,30.05 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,46.4 °F,44.3 °F,39.2 °F,76%,30.05 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,50.0 °F,  -,39.9 °F,68%,30.06 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,54.0 °F,  -,42.1 °F,64%,30.04 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
11:52 AM,57.0 °F,  -,42.1 °F,57%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
12:52 PM,59.0 °F,  -,44.1 °F,58%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:52 PM,60.1 °F,  -,43.0 °F,53%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:52 PM,63.0 °F,  -,43.0 °F,48%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:52 PM,62.1 °F,  -,42.1 °F,48%,29.94 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,62.1 °F,  -,43.0 °F,50%,29.95 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,57.0 °F,  -,43.0 °F,59%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:52 PM,55.0 °F,  -,44.1 °F,67%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 PM,52.0 °F,  -,44.1 °F,74%,29.98 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,52.0 °F,  -,44.1 °F,74%,29.98 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,48.9 °F,  -,44.1 °F,83%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:52 PM,48.9 °F,  -,43.0 °F,80%,29.99 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,48.0 °F,  -,43.0 °F,83%,29.98 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
