Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,68.0 °F,66.0 °F,93%,30.09 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
1:52 AM,68.0 °F,66.9 °F,96%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1:52 AM,66.9 °F,66.9 °F,100%,30.08 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
2:52 AM,66.0 °F,66.0 °F,100%,30.07 in,9.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,64.9 °F,64.9 °F,100%,30.07 in,5.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,64.0 °F,64.0 °F,100%,30.09 in,4.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,64.9 °F,64.9 °F,100%,30.11 in,1.5 mi,East,4.6 mph,  -,N/A,	 ,Overcast
6:52 AM,64.0 °F,64.0 °F,100%,30.12 in,1.5 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
7:52 AM,64.0 °F,64.0 °F,100%,30.14 in,1.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
8:52 AM,64.0 °F,64.0 °F,100%,30.15 in,0.2 mi,East,6.9 mph,  -,N/A,	 ,Overcast
9:52 AM,64.9 °F,64.9 °F,100%,30.16 in,0.2 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
9:56 AM,64.9 °F,64.9 °F,100%,30.17 in,0.8 mi,East,6.9 mph,  -,N/A,	 ,Overcast
10:52 AM,66.0 °F,64.9 °F,96%,30.15 in,1.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
10:58 AM,66.0 °F,64.9 °F,96%,30.16 in,2.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
11:52 AM,66.9 °F,64.9 °F,93%,30.14 in,2.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:05 PM,68.0 °F,64.9 °F,90%,30.15 in,6.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,70.0 °F,64.9 °F,84%,30.12 in,8.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:15 PM,72.0 °F,64.9 °F,78%,30.12 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,73.0 °F,64.9 °F,76%,30.08 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,73.9 °F,64.0 °F,71%,30.07 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,75.9 °F,64.0 °F,67%,30.06 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,75.0 °F,64.0 °F,69%,30.05 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,73.0 °F,64.0 °F,73%,30.05 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:52 PM,72.0 °F,64.9 °F,78%,30.06 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,70.0 °F,66.0 °F,87%,30.07 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,70.0 °F,64.9 °F,84%,30.09 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,68.0 °F,64.9 °F,90%,30.09 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,66.9 °F,64.0 °F,90%,30.08 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
