Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,46.0 °F,43.9 °F,37.0 °F,71%,29.99 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Overcast
1:52 AM,44.1 °F,42.5 °F,37.0 °F,76%,29.98 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Overcast
2:52 AM,43.0 °F,40.3 °F,34.0 °F,71%,29.99 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,41.0 °F,37.1 °F,34.0 °F,76%,29.99 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,39.0 °F,34.8 °F,33.1 °F,79%,30.00 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,37.9 °F,31.5 °F,30.9 °F,76%,30.01 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,37.0 °F,29.8 °F,30.0 °F,76%,30.02 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,36.0 °F,29.0 °F,28.9 °F,76%,30.05 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,37.0 °F,29.8 °F,28.9 °F,73%,30.06 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,37.9 °F,30.9 °F,30.0 °F,73%,30.08 in,9.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,42.1 °F,36.6 °F,30.0 °F,62%,30.09 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,44.1 °F,37.4 °F,27.0 °F,51%,30.09 in,10.0 mi,WNW,13.8 mph,21.9 mph,N/A,	 ,Mostly Cloudy
12:52 PM,42.1 °F,33.6 °F,25.0 °F,51%,30.08 in,10.0 mi,NW,18.4 mph,23.0 mph,N/A,	 ,Mostly Cloudy
1:52 PM,39.9 °F,32.5 °F,25.0 °F,55%,30.10 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Overcast
2:52 PM,39.0 °F,31.0 °F,24.1 °F,55%,30.10 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Overcast
3:52 PM,39.0 °F,31.4 °F,24.1 °F,55%,30.12 in,10.0 mi,WNW,12.7 mph,25.3 mph,N/A,	 ,Overcast
4:52 PM,37.9 °F,29.6 °F,24.1 °F,57%,30.13 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,37.0 °F,28.5 °F,24.1 °F,59%,30.15 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,36.0 °F,28.0 °F,24.1 °F,62%,30.19 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,35.1 °F,26.9 °F,25.0 °F,67%,30.20 in,10.0 mi,NW,11.5 mph,20.7 mph,N/A,	 ,Mostly Cloudy
8:52 PM,34.0 °F,26.6 °F,25.0 °F,70%,30.20 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,33.1 °F,26.1 °F,25.0 °F,72%,30.21 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,30.9 °F,24.3 °F,24.1 °F,76%,30.23 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,30.0 °F,22.4 °F,24.1 °F,79%,30.23 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
