Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,50.0 °F,50.0 °F,100%,30.20 in,8.0 mi,ENE,6.9 mph,  -,N/A,Fog,Shallow Fog
1:52 AM,48.9 °F,48.9 °F,100%,30.20 in,8.0 mi,East,4.6 mph,  -,N/A,Fog,Shallow Fog
2:52 AM,48.0 °F,48.0 °F,100%,30.21 in,8.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,48.0 °F,48.0 °F,100%,30.21 in,9.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,48.0 °F,48.0 °F,100%,30.22 in,8.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,48.0 °F,48.0 °F,100%,30.23 in,8.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,48.0 °F,48.0 °F,100%,30.25 in,7.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,48.9 °F,48.0 °F,97%,30.27 in,4.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,52.0 °F,50.0 °F,93%,30.28 in,8.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,55.0 °F,50.0 °F,83%,30.29 in,8.0 mi,ESE,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,57.9 °F,51.1 °F,78%,30.29 in,10.0 mi,SE,12.7 mph,20.7 mph,N/A,	 ,Partly Cloudy
11:52 AM,61.0 °F,48.9 °F,64%,30.28 in,10.0 mi,SE,11.5 mph,18.4 mph,N/A,	 ,Partly Cloudy
12:52 PM,64.0 °F,48.9 °F,58%,30.26 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,64.0 °F,48.0 °F,56%,30.24 in,10.0 mi,SE,5.8 mph,17.3 mph,N/A,	 ,Mostly Cloudy
2:52 PM,64.9 °F,48.9 °F,56%,30.22 in,9.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,64.9 °F,48.0 °F,54%,30.21 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,64.0 °F,48.9 °F,58%,30.21 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,61.0 °F,50.0 °F,67%,30.22 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,61.0 °F,51.1 °F,70%,30.22 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,61.0 °F,52.0 °F,72%,30.23 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,60.1 °F,52.0 °F,75%,30.23 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,57.9 °F,51.1 °F,78%,30.23 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,57.0 °F,52.0 °F,83%,30.23 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,57.0 °F,52.0 °F,83%,30.22 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
