Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:20 AM,60.1 °F,59.0 °F,96%,29.87 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:52 AM,62.1 °F,61.0 °F,96%,29.85 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
1:18 AM,63.0 °F,62.1 °F,97%,29.86 in,6.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
1:52 AM,63.0 °F,62.1 °F,97%,29.84 in,1.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
2:18 AM,63.0 °F,63.0 °F,100%,29.87 in,1.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
2:30 AM,63.0 °F,63.0 °F,100%,29.88 in,0.2 mi,SSW,5.8 mph,  -,0.00 in,Fog,Light Drizzle
2:52 AM,63.0 °F,63.0 °F,100%,29.85 in,0.2 mi,South,5.8 mph,  -,0.00 in,Fog,Fog
3:52 AM,63.0 °F,63.0 °F,100%,29.85 in,0.2 mi,South,8.1 mph,  -,N/A,Fog,Fog
4:52 AM,63.0 °F,63.0 °F,100%,29.82 in,0.2 mi,South,3.5 mph,  -,N/A,	 ,Overcast
5:10 AM,63.0 °F,63.0 °F,100%,29.83 in,0.2 mi,Calm,Calm,  -,N/A,	 ,Overcast
5:34 AM,63.0 °F,63.0 °F,100%,29.81 in,0.2 mi,ESE,4.6 mph,  -,N/A,Fog,Fog
5:52 AM,63.0 °F,62.1 °F,97%,29.78 in,0.2 mi,East,5.8 mph,  -,N/A,	 ,Overcast
6:52 AM,63.0 °F,63.0 °F,100%,29.78 in,0.2 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
7:52 AM,63.0 °F,63.0 °F,100%,29.81 in,0.2 mi,SE,4.6 mph,  -,0.00 in,Rain,Light Rain
8:03 AM,63.0 °F,63.0 °F,100%,29.81 in,0.2 mi,East,6.9 mph,  -,0.03 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
8:46 AM,60.8 °F,60.8 °F,100%,29.81 in,0.2 mi,NNW,15.0 mph,23.0 mph,0.46 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
8:52 AM,57.9 °F,55.0 °F,90%,29.80 in,1.5 mi,NNW,4.6 mph,23.0 mph,0.54 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
9:52 AM,60.1 °F,57.9 °F,93%,29.78 in,1.5 mi,NNE,6.9 mph,  -,0.64 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
9:56 AM,60.1 °F,57.9 °F,93%,29.77 in,2.0 mi,NE,10.4 mph,  -,0.06 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
9:59 AM,60.1 °F,57.9 °F,93%,29.77 in,2.0 mi,NNE,11.5 mph,  -,0.08 in,Rain,Heavy Rain
10:06 AM,60.1 °F,57.9 °F,93%,29.78 in,2.0 mi,NE,11.5 mph,  -,0.11 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
10:22 AM,59.0 °F,57.9 °F,96%,29.77 in,2.0 mi,NNW,16.1 mph,  -,0.23 in,"Rain
	,
Thunderstorm",Heavy Rain
10:25 AM,59.0 °F,57.9 °F,96%,29.78 in,1.8 mi,North,12.7 mph,  -,0.30 in,"Rain
	,
Thunderstorm",Heavy Rain
10:33 AM,60.1 °F,59.0 °F,96%,29.76 in,0.2 mi,NNE,15.0 mph,  -,0.53 in,"Rain
	,
Thunderstorm",Heavy Rain
10:42 AM,60.1 °F,60.1 °F,100%,29.78 in,1.2 mi,NE,10.4 mph,  -,0.63 in,"Rain
	,
Thunderstorm",Heavy Rain
10:52 AM,60.1 °F,59.0 °F,96%,29.77 in,1.2 mi,NE,13.8 mph,21.9 mph,0.71 in,"Rain
	,
Thunderstorm",Heavy Rain
11:09 AM,60.1 °F,59.0 °F,96%,29.75 in,1.2 mi,NE,17.3 mph,  -,0.19 in,"Rain
	,
Thunderstorm",Heavy Rain
11:20 AM,60.1 °F,60.1 °F,100%,29.73 in,1.2 mi,NNE,15.0 mph,  -,0.29 in,Rain,Heavy Rain
11:52 AM,59.0 °F,59.0 °F,100%,29.68 in,1.2 mi,NNE,21.9 mph,  -,0.64 in,Rain,Rain
12:16 PM,57.9 °F,57.0 °F,97%,29.74 in,1.2 mi,WNW,29.9 mph,35.7 mph,0.09 in,Rain,Heavy Rain
12:21 PM,57.0 °F,55.9 °F,96%,29.75 in,0.5 mi,NW,26.5 mph,38.0 mph,0.27 in,"Fog
	,
Rain",Heavy Rain
12:29 PM,55.9 °F,55.9 °F,100%,29.76 in,1.0 mi,NNW,25.3 mph,34.5 mph,0.47 in,Rain,Heavy Rain
12:43 PM,57.0 °F,55.9 °F,96%,29.71 in,1.2 mi,North,20.7 mph,33.4 mph,0.57 in,Rain,Heavy Rain
12:52 PM,57.0 °F,57.0 °F,100%,29.61 in,4.0 mi,NNE,28.8 mph,34.5 mph,0.59 in,Rain,Light Rain
12:59 PM,57.9 °F,57.0 °F,97%,29.60 in,7.0 mi,NE,27.6 mph,  -,0.00 in,Rain,Light Rain
1:52 PM,61.0 °F,59.0 °F,93%,29.62 in,10.0 mi,NNE,10.4 mph,  -,0.00 in,	 ,Overcast
2:52 PM,62.1 °F,55.9 °F,80%,29.62 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,62.1 °F,57.0 °F,84%,29.63 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:13 PM,62.1 °F,57.0 °F,84%,29.64 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 PM,63.0 °F,57.0 °F,81%,29.64 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:32 PM,64.0 °F,57.0 °F,78%,29.64 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 PM,61.0 °F,57.0 °F,87%,29.64 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:36 PM,60.1 °F,57.0 °F,90%,29.66 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
