Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,50.0 °F,  -,43.0 °F,77%,29.73 in,10.0 mi,NW,19.6 mph,26.5 mph,N/A,	 ,Mostly Cloudy
1:52 AM,48.9 °F,  -,42.1 °F,77%,29.72 in,10.0 mi,NNW,24.2 mph,31.1 mph,N/A,	 ,Mostly Cloudy
2:52 AM,48.9 °F,  -,43.0 °F,80%,29.73 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,48.0 °F,  -,42.1 °F,80%,29.73 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,48.0 °F,  -,42.1 °F,80%,29.75 in,10.0 mi,NW,18.4 mph,26.5 mph,N/A,	 ,Mostly Cloudy
5:52 AM,46.9 °F,  -,41.0 °F,80%,29.76 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,46.0 °F,39.6 °F,41.0 °F,83%,29.79 in,10.0 mi,NW,15.0 mph,21.9 mph,N/A,	 ,Mostly Cloudy
7:52 AM,46.0 °F,39.3 °F,41.0 °F,83%,29.82 in,10.0 mi,NW,16.1 mph,21.9 mph,N/A,	 ,Mostly Cloudy
8:52 AM,45.0 °F,37.6 °F,39.9 °F,82%,29.84 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,46.9 °F,  -,39.9 °F,77%,29.86 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,50.0 °F,  -,41.0 °F,71%,29.88 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,52.0 °F,  -,39.9 °F,63%,29.87 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
12:52 PM,55.0 °F,  -,37.9 °F,53%,29.86 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1:52 PM,57.9 °F,  -,37.9 °F,47%,29.83 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
2:52 PM,60.1 °F,  -,34.0 °F,38%,29.81 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
3:52 PM,61.0 °F,  -,37.0 °F,41%,29.83 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
4:52 PM,61.0 °F,  -,32.0 °F,34%,29.85 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
5:52 PM,57.9 °F,  -,35.1 °F,42%,29.87 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
6:52 PM,55.9 °F,  -,34.0 °F,44%,29.88 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
7:52 PM,53.1 °F,  -,35.1 °F,50%,29.89 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
8:52 PM,51.1 °F,  -,36.0 °F,56%,29.91 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
9:52 PM,51.1 °F,  -,36.0 °F,56%,29.91 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
10:52 PM,48.9 °F,  -,36.0 °F,61%,29.91 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
11:52 PM,46.0 °F,44.8 °F,37.0 °F,71%,29.90 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Clear
