Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,37.9 °F,31.5 °F,26.1 °F,62%,30.01 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,37.9 °F,30.5 °F,25.0 °F,60%,30.01 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,36.0 °F,28.0 °F,25.0 °F,64%,30.01 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,35.1 °F,28.6 °F,25.0 °F,67%,30.02 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,35.1 °F,28.6 °F,25.0 °F,67%,30.03 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,34.0 °F,26.6 °F,26.1 °F,73%,30.05 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,34.0 °F,27.2 °F,25.0 °F,70%,30.07 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
7:52 AM,33.1 °F,24.9 °F,26.1 °F,75%,30.11 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
8:52 AM,37.0 °F,29.8 °F,27.0 °F,67%,30.13 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,41.0 °F,33.9 °F,26.1 °F,55%,30.14 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
10:52 AM,45.0 °F,40.6 °F,27.0 °F,49%,30.16 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,48.9 °F,  -,27.0 °F,43%,30.15 in,10.0 mi,WNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,52.0 °F,  -,28.0 °F,40%,30.12 in,10.0 mi,WNW,15.0 mph,24.2 mph,N/A,	 ,Partly Cloudy
1:52 PM,55.0 °F,  -,27.0 °F,34%,30.09 in,10.0 mi,WNW,18.4 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,55.9 °F,  -,25.0 °F,30%,30.08 in,10.0 mi,West,13.8 mph,24.2 mph,N/A,	 ,Partly Cloudy
3:52 PM,55.9 °F,  -,26.1 °F,32%,30.09 in,10.0 mi,NW,13.8 mph,21.9 mph,N/A,	 ,Partly Cloudy
4:52 PM,55.9 °F,  -,27.0 °F,33%,30.11 in,10.0 mi,West,12.7 mph,20.7 mph,N/A,	 ,Partly Cloudy
5:52 PM,53.1 °F,  -,27.0 °F,37%,30.11 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,50.0 °F,  -,28.0 °F,43%,30.12 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
7:52 PM,50.0 °F,  -,28.9 °F,44%,30.12 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
8:52 PM,48.9 °F,  -,30.0 °F,48%,30.11 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
9:52 PM,46.0 °F,44.8 °F,30.0 °F,54%,30.12 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,45.0 °F,41.8 °F,30.9 °F,58%,30.11 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,44.1 °F,40.8 °F,30.9 °F,60%,30.09 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
