Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,55.0 °F,46.0 °F,72%,30.14 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,53.1 °F,46.0 °F,77%,30.15 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,50.0 °F,44.1 °F,80%,30.13 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,50.0 °F,45.0 °F,83%,30.11 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,51.1 °F,45.0 °F,80%,30.12 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,51.1 °F,44.1 °F,77%,30.14 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,51.1 °F,45.0 °F,80%,30.16 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,52.0 °F,46.0 °F,80%,30.18 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,57.0 °F,48.0 °F,72%,30.19 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,61.0 °F,46.0 °F,58%,30.21 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,64.0 °F,46.0 °F,52%,30.21 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,66.9 °F,46.9 °F,49%,30.19 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,69.1 °F,46.0 °F,44%,30.17 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,71.1 °F,46.0 °F,41%,30.14 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,73.0 °F,46.0 °F,38%,30.14 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,73.0 °F,44.1 °F,35%,30.13 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,73.9 °F,43.0 °F,33%,30.12 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,70.0 °F,45.0 °F,41%,30.12 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,69.1 °F,45.0 °F,42%,30.12 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,66.9 °F,45.0 °F,45%,30.12 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,64.9 °F,45.0 °F,48%,30.13 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,64.0 °F,46.0 °F,52%,30.12 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,62.1 °F,45.0 °F,53%,30.12 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,60.1 °F,46.0 °F,60%,30.12 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
