Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,41.0 °F,  -,21.0 °F,45%,30.35 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:52 AM,42.1 °F,40.2 °F,19.9 °F,41%,30.35 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
2:52 AM,37.0 °F,34.5 °F,24.1 °F,59%,30.35 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Clear
3:52 AM,37.4 °F,34.9 °F,21.2 °F,52%,30.35 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,37.4 °F,34.9 °F,23.0 °F,56%,30.33 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,39.2 °F,35.9 °F,21.2 °F,49%,30.35 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,39.2 °F,  -,21.2 °F,49%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 AM,42.1 °F,  -,27.0 °F,55%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:52 AM,42.8 °F,41.1 °F,26.6 °F,53%,30.41 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,46.0 °F,44.8 °F,23.0 °F,40%,30.41 in,9.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
10:52 AM,48.9 °F,  -,27.0 °F,43%,30.42 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
11:37 AM,50.0 °F,  -,26.1 °F,39%,30.40 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
11:52 AM,51.1 °F,  -,24.1 °F,35%,30.42 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
12:52 PM,53.1 °F,  -,23.0 °F,31%,30.40 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,59.0 °F,  -,27.0 °F,29%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 PM,61.0 °F,  -,32.0 °F,34%,30.34 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,63.0 °F,  -,36.0 °F,37%,30.30 in,10.0 mi,SSW,9.2 mph,17.3 mph,N/A,	 ,Mostly Cloudy
4:52 PM,66.0 °F,  -,37.9 °F,36%,30.27 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,68.0 °F,  -,39.9 °F,36%,30.25 in,10.0 mi,SW,12.7 mph,19.6 mph,N/A,	 ,Scattered Clouds
6:52 PM,66.9 °F,  -,41.0 °F,39%,30.25 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,66.0 °F,  -,39.9 °F,38%,30.27 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,64.0 °F,  -,41.0 °F,43%,30.26 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,64.0 °F,  -,41.0 °F,43%,30.28 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
10:52 PM,63.0 °F,  -,42.1 °F,46%,30.27 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
11:52 PM,62.1 °F,  -,42.1 °F,48%,30.25 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
