Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,54.0 °F,26.1 °F,34%,30.28 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,53.1 °F,32.0 °F,45%,30.29 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,54.0 °F,37.0 °F,53%,30.30 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,53.1 °F,35.1 °F,50%,30.30 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,53.1 °F,32.0 °F,45%,30.31 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,53.1 °F,30.9 °F,43%,30.32 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,51.1 °F,30.0 °F,44%,30.34 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,51.1 °F,28.9 °F,43%,30.37 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,51.1 °F,35.1 °F,54%,30.40 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,53.1 °F,37.0 °F,55%,30.43 in,10.0 mi,East,19.6 mph,23.0 mph,N/A,	 ,Mostly Cloudy
10:52 AM,55.0 °F,37.0 °F,51%,30.44 in,10.0 mi,East,18.4 mph,26.5 mph,N/A,	 ,Partly Cloudy
11:52 AM,57.9 °F,37.9 °F,47%,30.44 in,10.0 mi,East,17.3 mph,23.0 mph,N/A,	 ,Scattered Clouds
12:52 PM,59.0 °F,37.0 °F,44%,30.44 in,10.0 mi,East,13.8 mph,21.9 mph,N/A,	 ,Partly Cloudy
1:52 PM,62.1 °F,37.0 °F,39%,30.42 in,10.0 mi,ESE,12.7 mph,18.4 mph,N/A,	 ,Partly Cloudy
2:52 PM,64.0 °F,39.0 °F,40%,30.39 in,10.0 mi,ESE,9.2 mph,21.9 mph,N/A,	 ,Scattered Clouds
3:52 PM,64.9 °F,39.9 °F,40%,30.38 in,10.0 mi,East,13.8 mph,20.7 mph,N/A,	 ,Mostly Cloudy
4:52 PM,63.0 °F,39.0 °F,41%,30.37 in,10.0 mi,ESE,10.4 mph,23.0 mph,N/A,	 ,Mostly Cloudy
5:52 PM,64.0 °F,37.0 °F,37%,30.37 in,8.0 mi,ESE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:24 PM,62.1 °F,37.0 °F,39%,30.36 in,6.0 mi,East,12.7 mph,  -,N/A,	 ,Smoke
6:52 PM,63.0 °F,37.0 °F,38%,30.37 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,62.1 °F,37.0 °F,39%,30.37 in,10.0 mi,SE,9.2 mph,18.4 mph,N/A,	 ,Mostly Cloudy
8:52 PM,61.0 °F,37.9 °F,42%,30.39 in,10.0 mi,ESE,11.5 mph,18.4 mph,N/A,	 ,Mostly Cloudy
9:52 PM,60.1 °F,37.9 °F,44%,30.40 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Overcast
10:52 PM,60.1 °F,39.0 °F,46%,30.40 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
11:52 PM,60.1 °F,39.0 °F,46%,30.41 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
