Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,57.0 °F,  -,43.0 °F,59%,29.99 in,10.0 mi,NNW,28.8 mph,36.8 mph,N/A,	 ,Overcast
1:52 AM,54.0 °F,  -,41.0 °F,62%,30.02 in,10.0 mi,North,24.2 mph,33.4 mph,N/A,	 ,Mostly Cloudy
2:52 AM,51.1 °F,  -,30.9 °F,46%,30.04 in,10.0 mi,NNW,21.9 mph,29.9 mph,N/A,	 ,Mostly Cloudy
3:52 AM,48.9 °F,  -,27.0 °F,43%,30.06 in,10.0 mi,NNW,12.7 mph,26.5 mph,N/A,	 ,Scattered Clouds
4:52 AM,46.9 °F,  -,27.0 °F,46%,30.09 in,10.0 mi,NNW,13.8 mph,27.6 mph,N/A,	 ,Scattered Clouds
5:52 AM,45.0 °F,37.1 °F,27.0 °F,49%,30.11 in,10.0 mi,NNW,19.6 mph,25.3 mph,N/A,	 ,Partly Cloudy
6:52 AM,43.0 °F,35.7 °F,27.0 °F,53%,30.14 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,43.0 °F,35.1 °F,26.1 °F,51%,30.17 in,10.0 mi,NNW,17.3 mph,25.3 mph,N/A,	 ,Scattered Clouds
8:52 AM,45.0 °F,38.2 °F,26.1 °F,48%,30.20 in,10.0 mi,NNW,15.0 mph,24.2 mph,N/A,	 ,Scattered Clouds
9:52 AM,48.0 °F,  -,26.1 °F,42%,30.23 in,10.0 mi,NNW,17.3 mph,23.0 mph,N/A,	 ,Scattered Clouds
10:52 AM,50.0 °F,  -,25.0 °F,38%,30.25 in,10.0 mi,NNW,13.8 mph,25.3 mph,N/A,	 ,Partly Cloudy
11:52 AM,53.1 °F,  -,25.0 °F,34%,30.26 in,10.0 mi,NW,16.1 mph,27.6 mph,N/A,	 ,Partly Cloudy
12:52 PM,54.0 °F,  -,23.0 °F,30%,30.26 in,10.0 mi,NNW,20.7 mph,25.3 mph,N/A,	 ,Scattered Clouds
1:52 PM,55.9 °F,  -,25.0 °F,30%,30.25 in,10.0 mi,NW,15.0 mph,24.2 mph,N/A,	 ,Scattered Clouds
2:52 PM,57.0 °F,  -,21.9 °F,26%,30.25 in,10.0 mi,NNW,16.1 mph,27.6 mph,N/A,	 ,Mostly Cloudy
3:52 PM,57.0 °F,  -,19.9 °F,24%,30.25 in,10.0 mi,NNW,19.6 mph,26.5 mph,N/A,	 ,Mostly Cloudy
4:52 PM,57.0 °F,  -,19.0 °F,23%,30.25 in,10.0 mi,NW,18.4 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,55.0 °F,  -,19.0 °F,24%,30.27 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,53.1 °F,  -,19.0 °F,26%,30.30 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,50.0 °F,  -,21.0 °F,32%,30.32 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,48.0 °F,  -,21.9 °F,36%,30.35 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,46.9 °F,  -,21.9 °F,37%,30.36 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,45.0 °F,41.2 °F,24.1 °F,44%,30.38 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,43.0 °F,38.8 °F,25.0 °F,49%,30.39 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
