Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,64.0 °F,  -,54.0 °F,70%,30.24 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:52 AM,63.0 °F,  -,54.0 °F,72%,30.22 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:52 AM,64.0 °F,  -,54.0 °F,70%,30.21 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,61.0 °F,  -,54.0 °F,78%,30.21 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,61.0 °F,  -,54.0 °F,78%,30.21 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 AM,63.0 °F,  -,54.0 °F,72%,30.22 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,62.1 °F,  -,53.1 °F,72%,30.23 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,62.1 °F,  -,53.1 °F,72%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:52 AM,64.9 °F,  -,55.0 °F,70%,30.26 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,70.0 °F,  -,55.9 °F,61%,30.27 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,73.9 °F,  -,55.9 °F,53%,30.27 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,77.0 °F,  -,55.9 °F,48%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:52 PM,78.1 °F,  -,54.0 °F,43%,30.26 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,80.1 °F,80.0 °F,54.0 °F,40%,30.24 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,81.0 °F,80.8 °F,55.9 °F,42%,30.22 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,81.0 °F,  -,52.0 °F,36%,30.19 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,82.0 °F,  -,50.0 °F,33%,30.17 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,82.0 °F,  -,50.0 °F,33%,30.16 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,81.0 °F,  -,48.9 °F,33%,30.16 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,79.0 °F,  -,50.0 °F,36%,30.17 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,75.9 °F,  -,52.0 °F,43%,30.19 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,73.0 °F,  -,54.0 °F,51%,30.20 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,70.0 °F,  -,55.0 °F,59%,30.21 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,69.1 °F,  -,55.0 °F,61%,30.21 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
