Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,69.1 °F,55.0 °F,61%,30.25 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,66.0 °F,55.9 °F,70%,30.25 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,66.0 °F,55.9 °F,70%,30.25 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,64.9 °F,57.0 °F,75%,30.25 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,63.0 °F,57.0 °F,81%,30.26 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,63.0 °F,57.0 °F,81%,30.26 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,61.0 °F,57.0 °F,87%,30.29 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,62.1 °F,57.9 °F,86%,30.31 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,64.0 °F,59.0 °F,84%,30.33 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,66.9 °F,57.9 °F,73%,30.35 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,71.1 °F,59.0 °F,66%,30.35 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,73.0 °F,54.0 °F,51%,30.34 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,77.0 °F,52.0 °F,42%,30.31 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,78.1 °F,52.0 °F,40%,30.28 in,10.0 mi,SSE,11.5 mph,23.0 mph,N/A,	 ,Mostly Cloudy
2:52 PM,79.0 °F,51.1 °F,38%,30.27 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,79.0 °F,50.0 °F,36%,30.24 in,10.0 mi,South,11.5 mph,24.2 mph,N/A,	 ,Mostly Cloudy
4:52 PM,80.1 °F,48.9 °F,34%,30.22 in,10.0 mi,SSE,15.0 mph,19.6 mph,N/A,	 ,Mostly Cloudy
5:52 PM,80.1 °F,48.9 °F,34%,30.21 in,10.0 mi,SSE,12.7 mph,23.0 mph,N/A,	 ,Mostly Cloudy
6:52 PM,78.1 °F,48.9 °F,36%,30.22 in,10.0 mi,SSE,13.8 mph,19.6 mph,N/A,	 ,Mostly Cloudy
7:52 PM,75.9 °F,50.0 °F,40%,30.22 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,73.9 °F,51.1 °F,45%,30.23 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,72.0 °F,52.0 °F,49%,30.24 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Overcast
10:52 PM,71.1 °F,52.0 °F,51%,30.25 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,69.1 °F,52.0 °F,54%,30.24 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
